"land","name","area_km2","pop_tot","pop_male","pop_female","pop_density_km2","zip","lon","lat","ags","year","unem_tot","unem_foreigner","unem_capita"
"07","Limbach",9.18,315,150,165,34,"55606",7.542709,49.741531,"07133059",2012,8,0,0.0253968253968254
"07","Meckenbach",6.96,392,196,196,56,"55606",7.507337,49.77733,"07133063",2012,9,0,0.0229591836734694
"07","Oberhausen bei Kirn",4.58,913,449,464,199,"55606",7.450708,49.809722,"07133073",2012,25,1,0.0273822562979189
"07","Otzweiler",3.11,215,125,90,69,"55606",7.509569,49.713704,"07133077",2012,7,0,0.0325581395348837
"07","Simmertal",8.08,1834,926,908,227,"55618",7.520805,49.814045,"07133096",2012,69,5,0.0376226826608506
"07","Weitersborn",3.12,246,125,121,79,"55629",7.525191,49.849888,"07133113",2012,4,0,0.016260162601626
"07","Bruschied",2.67,276,133,143,103,"55606",7.407033,49.835446,"07133201",2012,7,0,0.0253623188405797
"07","Kellenbach",8.34,252,121,131,30,"55606",7.491678,49.844682,"07133202",2012,6,0,0.0238095238095238
"07","Königsau",2.02,71,37,34,35,"55606",7.486979,49.855452,"07133203",2012,3,0,0.0422535211267606
"07","Schneppenbach",3.3,256,123,133,78,"55608",7.408664,49.845612,"07133204",2012,3,0,0.01171875
"07","Schwarzerden",6.98,249,129,120,36,"55629",7.512489,49.86032,"07133205",2012,9,0,0.036144578313253
"07","Bretzenheim",5.81,2514,1277,1237,433,"55559",7.89772,49.879236,"07133018",2012,65,10,0.0258552108194113
"07","Dorsheim",2.22,721,363,358,325,"55452",7.873308,49.926155,"07133026",2012,18,2,0.0249653259361997
"07","Guldental",12.99,2502,1246,1256,193,"55452",7.844847,49.891491,"07133035",2012,58,9,0.0231814548361311
"07","Langenlonsheim",11.92,3767,1823,1944,316,"55450",7.899113,49.896796,"07133054",2012,101,17,0.0268117865675604
"07","Laubenheim",3.34,785,386,399,235,"55452",7.895042,49.919173,"07133056",2012,11,0,0.0140127388535032
"07","Rümmelsheim",3.08,1344,680,664,436,"55452",7.859904,49.934217,"07133087",2012,31,0,0.0230654761904762
"07","Windesheim",10.17,1790,918,872,176,"55452",7.815885,49.906359,"07133114",2012,39,6,0.0217877094972067
"07","Abtweiler",5.76,208,101,107,36,"55568",7.656342,49.744286,"07133001",2012,4,0,0.0192307692307692
"07","Becherbach",10.86,890,439,451,82,"67827",7.680745,49.654088,"07133011",2012,29,2,0.0325842696629213
"07","Breitenheim",5.69,398,198,200,70,"55592",7.63034,49.697264,"07133017",2012,8,1,0.0201005025125628
"07","Callbach",5.38,393,182,211,73,"67829",7.699881,49.704325,"07133020",2012,8,0,0.0203562340966921
"07","Desloch",6.37,365,186,179,57,"55592",7.62784,49.718831,"07133024",2012,3,0,0.00821917808219178
"07","Hundsbach",7.48,386,182,204,52,"55621",7.553439,49.725306,"07133049",2012,6,0,0.0155440414507772
"07","Jeckenbach",6.28,247,117,130,39,"55592",7.60818,49.708943,"07133051",2012,3,0,0.0121457489878543
"07","Lettweiler",6.28,220,108,112,35,"67823",7.724988,49.73456,"07133058",2012,7,1,0.0318181818181818
"07","Löllbach",4.94,212,109,103,43,"67744",7.592944,49.689475,"07133060",2012,6,0,0.0283018867924528
