"land","name","area_km2","pop_tot","pop_male","pop_female","pop_density_km2","zip","lon","lat","ags","year","unem_tot","unem_foreigner","unem_capita"
"01","Flensburg, Stadt",56.74,88502,43648,44854,1560,"24937",9.2615,54.4657,"01001000",2009,5530,583,0.0624844636279406
"01","Kiel, Landeshauptstadt",118.65,238281,116559,121722,2008,"24103",10.0814,54.1918,"01002000",2009,13358,2291,0.056059862095593
"01","Lübeck, Hansestadt",214.21,209818,99747,110071,979,"23539",10.4111,53.5201,"01003000",2009,12829,1879,0.0611434671953789
"01","Neumünster, Stadt",71.63,76897,37718,39179,1074,"24534",9.591,54.0423,"01004000",2009,4470,595,0.0581297059703239
"01","Brunsbüttel, Stadt",65.24,13228,6541,6687,203,"25541",9.0737,53.5348,"01051011",2009,687,38,0.0519352887813728
"01","Heide, Stadt",31.97,20747,9897,10850,649,"25746",9.0543,54.1145,"01051044",2009,1466,149,0.0706608184315805
"01","Averlak",9.07,622,306,316,69,"25715",9.1058,53.5628,"01051003",2009,22,1,0.0353697749196141
"01","Brickeln",6.07,217,114,103,36,"25712",9.1316,54.0031,"01051010",2009,6,0,0.0276497695852535
"01","Buchholz",14.55,1073,539,534,74,"25712",12.383,53.1638,"01051012",2009,39,0,0.0363466915191053
"01","Burg (Dithmarschen)",11.23,4272,2042,2230,380,"25712",9.1529,53.5945,"01051016",2009,221,8,0.0517322097378277
"01","Dingen",7.02,685,349,336,98,"25715",9.0733,53.5739,"01051022",2009,20,0,0.0291970802919708
"01","Eddelak",9.21,1396,684,712,152,"25715",9.0816,53.5644,"01051024",2009,63,1,0.0451289398280802
"01","Eggstedt",12.79,796,399,397,62,"25721",9.1533,54.0316,"01051026",2009,23,0,0.028894472361809
"01","Frestedt",10.32,379,194,185,37,"25727",9.1033,54.0125,"01051032",2009,12,0,0.0316622691292876
"01","Großenrade",10.4,525,264,261,50,"25712",9.1324,54.0119,"01051037",2009,15,0,0.0285714285714286
"01","Hochdonn",5.46,1249,615,634,229,"25712",9.1735,54.011,"01051051",2009,42,1,0.033626901521217
"01","Kuden",11.36,643,337,306,57,"25712",9.1134,53.5804,"01051064",2009,17,0,0.0264385692068429
"01","Quickborn",6.95,184,84,100,26,"25712",9.1224,54.0036,"01051089",2009,5,0,0.0271739130434783
"01","Sankt Michaelisdonn",23.05,3640,1787,1853,158,"25693",9.072,53.594,"01051097",2009,134,6,0.0368131868131868
"01","Süderhastedt",15.74,859,409,450,55,"25727",9.1232,54.026,"01051110",2009,23,0,0.0267753201396973
"01","Diekhusen-Fahrstedt",7.46,741,382,359,99,"25709",9.0142,53.5633,"01051021",2009,19,0,0.0256410256410256
"01","Friedrichskoog",53.35,2450,1222,1228,46,"25718",8.5351,54.005,"01051034",2009,98,2,0.04
"01","Helse",11.44,919,459,460,80,"25709",9.0037,53.5839,"01051046",2009,29,1,0.0315560391730141
"01","Kaiser-Wilhelm-Koog",13.06,376,187,189,29,"25709",8.5555,53.5611,"01051057",2009,13,0,0.0345744680851064
"01","Kronprinzenkoog",28.85,888,453,435,31,"25709",8.5752,53.5818,"01051062",2009,32,2,0.036036036036036
"01","Marne, Stadt",4.83,5874,2742,3132,1216,"25709",9.0032,53.5713,"01051072",2009,309,12,0.0526046986721144
"01","Marnerdeich",1.31,348,180,168,266,"25709",8.5859,53.5655,"01051073",2009,22,0,0.0632183908045977
"01","Neufeld",10.4,649,348,301,62,"25724",9.0107,53.5426,"01051076",2009,22,0,0.0338983050847458
"01","Neufelderkoog",9.76,135,66,69,14,"25724",8.5808,53.5425,"01051077",2009,2,0,0.0148148148148148
"01","Ramhusen",4.8,161,87,74,34,"25715",9.0526,53.5628,"01051090",2009,2,0,0.0124223602484472
"01","Schmedeswurth",5.91,210,109,101,36,"25724",9.0228,53.5536,"01051103",2009,10,0,0.0476190476190476
"01","Trennewurth",7.78,262,140,122,34,"25693",9.0138,54.0001,"01051118",2009,7,0,0.0267175572519084
"01","Volsemenhusen",16.78,352,189,163,21,"25693",9.0421,53.5802,"01051119",2009,10,0,0.0284090909090909
"01","Barkenholm",5.11,176,91,85,34,"25791",9.1028,54.1415,"01051005",2009,4,0,0.0227272727272727
"01","Bergewöhrden",2.64,33,14,19,13,"25779",9.1234,54.1906,"01051008",2009,0,0,0
"01","Dellstedt",21.77,809,417,392,37,"25786",9.2209,54.1416,"01051019",2009,38,1,0.0469715698393078
"01","Delve",15.84,721,368,353,46,"25788",9.1509,54.1814,"01051020",2009,24,0,0.0332871012482663
"01","Dörpling",7.82,627,309,318,80,"25794",9.1807,54.1538,"01051023",2009,25,0,0.0398724082934609
"01","Fedderingen",9.69,285,144,141,29,"25779",9.0758,54.1652,"01051030",2009,10,0,0.0350877192982456
"01","Gaushorn",6.45,210,109,101,33,"25782",9.1331,54.1142,"01051035",2009,8,0,0.0380952380952381
"01","Glüsing",4.69,122,68,54,26,"25779",9.1259,54.1628,"01051036",2009,1,0,0.00819672131147541
"01","Groven",7.9,142,77,65,18,"25774",8.5921,54.1801,"01051038",2009,4,0,0.028169014084507
"01","Hemme",16.53,547,299,248,33,"25774",9.0039,54.1649,"01051047",2009,21,1,0.0383912248628885
"01","Hennstedt",21.93,1928,981,947,88,"25779",9.1006,54.1701,"01051049",2009,85,1,0.0440871369294606
"01","Hövede",2.94,65,39,26,22,"25782",9.1736,54.1438,"01051052",2009,2,0,0.0307692307692308
"01","Hollingstedt",9.74,313,159,154,32,"25788",9.1336,54.1726,"01051053",2009,17,0,0.0543130990415335
"01","Karolinenkoog",17.55,123,63,60,7,"25774",8.5756,54.1733,"01051058",2009,6,0,0.0487804878048781
"01","Kleve",12.81,429,219,210,33,"25779",9.0723,54.1744,"01051060",2009,13,0,0.0303030303030303
"01","Krempel",4.83,602,304,298,125,"25774",9.0139,54.1912,"01051061",2009,32,0,0.053156146179402
"01","Lehe",18.63,1076,519,557,58,"25774",7.2037,53.001,"01051065",2009,39,0,0.0362453531598513
"01","Linden",11.62,856,437,419,74,"25791",7.5102,50.3607,"01051068",2009,28,1,0.0327102803738318
"01","Lunden",4.65,1644,828,816,354,"25774",9.0127,54.195,"01051071",2009,138,4,0.0839416058394161
"01","Norderheistedt",4.33,147,75,72,34,"25779",9.0846,54.1443,"01051080",2009,8,0,0.054421768707483
"01","Pahlen",10.8,1190,596,594,110,"25794",9.1747,54.1604,"01051088",2009,60,2,0.0504201680672269
"01","Rehm-Flehde-Bargen",14.63,557,290,267,38,"25776",9.0218,54.173,"01051092",2009,21,0,0.0377019748653501
"01","Sankt Annen",14.89,327,175,152,22,"25776",9.0447,54.2043,"01051096",2009,12,0,0.036697247706422
"01","Schalkholz",12.5,592,287,305,47,"25782",9.1525,54.1446,"01051100",2009,22,0,0.0371621621621622
"01","Schlichting",12.5,234,117,117,19,"25776",9.0522,54.1837,"01051102",2009,8,0,0.0341880341880342
"01","Tellingstedt",21.1,2538,1245,1293,120,"25782",9.1655,54.1312,"01051114",2009,107,5,0.0421591804570528
"01","Tielenhemme",12.71,144,70,74,11,"25794",9.2243,54.161,"01051117",2009,4,0,0.0277777777777778
"01","Wallen",1.86,33,15,18,18,"25788",9.161,54.1704,"01051120",2009,1,0,0.0303030303030303
"01","Welmbüttel",7.6,453,235,218,60,"25782",9.1449,54.1149,"01051125",2009,22,0,0.0485651214128035
"01","Westerborstel",4.14,104,50,54,25,"25782",9.1538,54.1312,"01051131",2009,2,0,0.0192307692307692
"01","Wiemerstedt",5.08,164,83,81,32,"25779",9.064,54.1609,"01051133",2009,7,0,0.0426829268292683
"01","Wrohm",11.45,721,366,355,63,"25799",9.2246,54.1246,"01051136",2009,27,0,0.0374479889042996
"01","Süderdorf",16.21,379,190,189,23,"25782",9.2038,54.1227,"01051139",2009,8,0,0.0211081794195251
"01","Süderheistedt",8.44,592,275,317,70,"25779",9.0854,54.1405,"01051141",2009,16,0,0.027027027027027
"01","Hemmingstedt",16.02,2920,1441,1479,182,"25770",9.0423,54.0856,"01051048",2009,130,4,0.0445205479452055
"01","Lieth",4.66,407,190,217,87,"25770",9.0339,54.0919,"01051067",2009,16,0,0.0393120393120393
