ags,gdp_nominal_1992,gdp_nominal_1994,gdp_nominal_1995,gdp_nominal_1996,gdp_nominal_1997,gdp_nominal_1998,gdp_nominal_1999,gdp_nominal_2000,gdp_nominal_2001,gdp_nominal_2002,gdp_nominal_2003,gdp_nominal_2004,gdp_nominal_2005,gdp_nominal_2006,gdp_nominal_2007,gdp_nominal_2008,gdp_nominal_2009,gdp_nominal_2010,gdp_nominal_2011,gdp_nominal_2012,gdp_nominal_2013,gdp_nominal_2014,gdp_nominal_2015,gdp_nominal_2016,wage_nominal2000,wage_nominal2001,wage_nominal2002,wage_nominal2003,wage_nominal2004,wage_nominal2005,wage_nominal2006,wage_nominal2007,wage_nominal2008,wage_nominal2009,wage_nominal2010,wage_nominal2011,wage_nominal2012,wage_nominal2013,wage_nominal2014,wage_nominal2015,wage_nominal2016,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,relig_cath_2011,relig_prot_2011,relig_other_2011,unem_tot_2011,unem_foreign_2011,unem_handicapped_2011,unem_age_15_20_2011,unem_age_15_25_2011,unem_age_55_65_2011,unem_longterm_2011,unem_rate_dependent_2011,unem_rate_tot_2011,unem_rate_male_2011,unem_rate_female_2011,unem_rate_foreign_2011,unem_rate_age_15_25_2011
08128,3148.583,3299.13,3439.928,3576.158,3202.012,3263.018,3348.314,3506.798,3453.773,3476.541,3526.708,3620.053,3766.085,3900.42,3978.023,4117.218,3900.07,4228.408,4370.639,4379.036,4374.423,4400.506,4655.906,4726.434,1798.934,1818.667,1819.183,1836.725,1861.02,1885.41,1891.089,1953.868,1973.735,1988.223,2056.984,2155.665,2247.29,2310.401,2374.399,2464.096,2559.891,134211,133351,130431,129842,129857,130299,132181,132274,0.5126010534051936,0.3251852645761881,0.16222133757961785,2531,306,376,45,228,643,851,4,3.5,3.4,3.7,10.6,2.7
08135,3097.296,3222.324,3377.491,3466.277,3548.18,3615.814,3666.638,3678.306,3728.753,3621.75,3554.773,3657.958,3663.421,3825.562,3975.791,3977.859,4037.537,3967.067,4160.561,4162.599,3912.659,4010.006,4307.696,4484.808,2054.455,2109.215,2123.311,2086.55,2082.27,2071.617,2119.381,2160.927,2252.157,2241.231,2273.53,2332.158,2431.559,2350.399,2358.799,2429.633,2537.745,131854,131116,127691,127608,127947,128894,130527,131498,0.3276506853602053,0.402469174438255,0.2698879639481755,3411,665,254,48,262,879,1157,5.7,5.1,4.6,5.6,10.9,3.1
08136,6212.739,6328.057,6661.151,6667.548,6807.899,7178.708,7247.689,7610.3,7900.911,7684.335,8160.407,8386.317,8761.107,9163.612,10030.653,9830.267,8784.64,10014.565,10949.189,11280.966,11544.683,12237.285,12418.039,12576.638,4320.934,4413.702,4470.387,4534.4,4538.582,4495.247,4638.173,4857.915,4996.356,4847.339,5111.043,5423.708,5686.237,5946.091,6126.866,6390.524,6595.271,312129,310733,306425,306484,306933,308205,312650,311587,0.5226013767004861,0.25535510390500116,0.22204025707108602,6337,1204,390,85,526,1562,2213,4.3,3.9,3.6,4.2,10.8,2.6
08211,1498.047,1640.981,1637.968,1673.076,1725.592,1768.245,1847.154,1864.966,1919.602,1975.743,2049.855,2111.284,2120.569,2194.46,2310.229,2420.526,2411.745,2456.361,2529.579,2654.035,2591.9,2755.501,2785.031,2832.879,1054.168,1081.007,1087.367,1103.835,1128.657,1153.504,1164.71,1194.513,1226.773,1283.702,1288.62,1341.202,1406.683,1366.348,1407.514,1457.762,1492.832,54494,54445,52424,52585,53012,53342,54160,54307,0.4606797415605765,0.20162862713613947,0.33771074664525746,1548,465,92,19,106,334,600,6.6,5.9,5.6,6.3,15.2,4
08212,10698.095,11798.34,12096.059,12600.824,12625.791,12489.707,12595.513,12926.628,13432.2,13282.36,13335.344,14220.982,14382.334,15332.5,15850.119,15646.575,15709.323,16362.495,16634.661,17089.958,17280.468,17718.083,18887.729,19504.616,7114.201,7324.749,7354.358,7339.132,7376.266,7483.3,7608.354,7727.03,7924.43,8129.352,8360.065,8661.319,9010.438,9182.559,9608.562,9864.014,10164.227,291959,294761,291995,296033,299103,300051,307755,309999,0.31833884906267185,0.3000210946388494,0.38164005629847875,8507,2211,586,130,626,1380,2699,6.4,5.8,5.9,5.6,11.4,4
08215,7775.444,8147.942,8595.94,8787.076,8655.25,9880.904,10001.029,10162.221,10482.3,10778.525,10460.293,10519.196,10926.113,11790.087,12611.56,13633.748,12669.596,13296.858,13922.37,14005.221,13947.97,14135.483,15244.947,15608.202,5195.733,5372.133,5431.079,5487.747,5527.873,5552.136,5758.096,5986.687,6140.501,6047.65,6197.212,6393.827,6578.351,6764.954,6835.953,7375.344,7691.195,431606,432271,424510,427106,429186,431315,435841,440337,0.4324109572245722,0.2993313244773909,0.26825536048589793,7454,1466,651,148,821,1675,2032,3.6,3.2,3.1,3.4,7.7,3.1
08216,5026.109,5104.107,5420.832,5652.345,5663.871,5711.983,5946.821,5906.013,6467.103,6413.759,6712.729,6939.406,7088.818,7451.011,7795.663,7675.453,6559.091,7841.913,8378.725,8188.256,8222.718,8704.37,9195.765,9430.196,3285.563,3335.402,3352.213,3381.201,3513.748,3655.459,3764.231,3800.952,3838.821,3617.938,3818.739,4060.497,4190.499,4360.893,4469.51,4607.886,4796.348,226912,226789,222201,222472,223311,224687,227474,228907,0.5589365070797575,0.1864486065382055,0.25461488638203705,4432,905,405,104,478,1096,1257,4,3.5,3.2,3.9,8.7,3.3
08221,4216.17,4419.188,4654.907,4812.613,5011.135,5274.748,5600.174,5841.703,5997.182,6062.714,5985.667,5835.665,5880.697,6336.126,6465.193,6783.345,6884.324,7054.032,7171.606,7695.447,7757.928,8170.307,8136.22,8391.312,3320.362,3406.333,3430.109,3440.465,3377.923,3394.952,3435.664,3512.702,3757.479,3774.652,3918.209,4084.71,4245.838,4340.277,4403.551,4599.54,4833.854,146466,147312,148415,150335,152113,154715,156267,159914,0.26889765657474224,0.3171494572439029,0.4139528861813548,3369,768,298,45,231,529,1209,5.8,5.3,5.7,4.8,9.1,3.2
08222,11645.482,11828.605,12189.975,12246.901,12256.518,12461.564,13116.753,13427.92,14011.858,14936.037,15364.855,15104.322,15220.214,15611.631,16152.936,16772.558,16118.992,16365.352,16994.395,17061.473,17793.217,17955.962,18964.732,19685.487,7541.034,7711.451,7805.188,7845.07,7725.97,7758.527,7775.052,8020.155,8334.626,8442.528,8683.116,8924.493,9290.634,9528.558,9897.421,10260.714,10587.727,311969,313174,291458,294627,296690,299844,305780,304781,0.29804527139050796,0.2647690414556886,0.43718568715380346,9763,3220,913,63,418,1522,3685,7.2,6.4,6.3,6.6,11.6,2.5
08225,2624.974,2785.949,2892.37,2990.292,3018.997,3049.877,3269.61,3102.892,3257.811,3290.938,3245.585,3229.293,3257.644,3380.463,3617.642,3689.312,3442.672,3688.957,3865.072,3982.539,4144.505,4133.324,4272.355,4305.702,1773.717,1776.584,1774.407,1780.693,1776.631,1760.77,1758.423,1815.937,1814.804,1796.223,1821.774,1898.486,1970.464,2023.808,2045.059,2125.65,2195.903,147782,147006,142435,141847,141584,141651,142936,143278,0.5050276591275121,0.3112106995308452,0.18376164134164275,3178,411,429,53,294,726,1214,4.6,4.1,3.8,4.6,10.3,3.1
