"land","name","area_km2","pop_tot","pop_male","pop_female","pop_density_km2","zip","lon","lat","ags","year","unem_tot","unem_foreigner","unem_capita"
"01","Flensburg, Stadt",56.74,88759,43759,45000,1564,"24937",9.437509,54.78252,"01001000",2010,5491,580,0.0618641489877083
"01","Kiel, Landeshauptstadt",118.65,239526,117297,122229,2019,"24103",10.13727,54.321775,"01002000",2010,13312,2207,0.0555764301161461
"01","Lübeck, Hansestadt",214.21,210232,100054,110178,981,"23539",10.683931,53.866269,"01003000",2010,11739,1681,0.0558383119601202
"01","Neumünster, Stadt",71.63,76830,37734,39096,1073,"24534",9.984968,54.073921,"01004000",2010,4555,609,0.0592867369517116
"01","Brunsbüttel, Stadt",65.24,13120,6513,6607,201,"25541",9.126938,53.896664,"01051011",2010,580,35,0.0442073170731707
"01","Heide, Stadt",31.97,20886,9998,10888,653,"25746",9.0954,54.195833,"01051044",2010,1268,118,0.0607105237958441
"01","Averlak",9.07,599,296,303,66,"25715",9.182663,53.941153,"01051003",2010,19,1,0.0317195325542571
"01","Brickeln",6.07,217,113,104,36,"25712",9.221166,54.00849,"01051010",2010,6,0,0.0276497695852535
"01","Buchholz",14.55,1076,550,526,74,"25712",12.641551,53.277354,"01051012",2010,27,0,0.025092936802974
"01","Burg (Dithmarschen)",11.23,4237,2033,2204,377,"25712",9.258097,53.995936,"01051016",2010,202,7,0.0476752419164503
"01","Dingen",7.02,670,338,332,95,"25715",9.125803,53.960888,"01051022",2010,14,0,0.0208955223880597
"01","Eddelak",9.21,1367,672,695,148,"25715",9.137788,53.945504,"01051024",2010,57,1,0.041697147037308
"01","Eggstedt",12.79,781,394,387,61,"25721",9.259269,54.054534,"01051026",2010,28,0,0.0358514724711908
"01","Frestedt",10.32,370,186,184,36,"25727",9.175759,54.023638,"01051032",2010,8,0,0.0216216216216216
"01","Großenrade",10.4,516,265,251,50,"25712",9.223435,54.022051,"01051037",2010,15,0,0.0290697674418605
"01","Hochdonn",5.46,1234,607,627,226,"25712",9.29316,54.019564,"01051051",2010,33,1,0.026742301458671
"01","Kuden",11.36,652,342,310,57,"25712",9.192821,53.967852,"01051064",2010,14,0,0.0214723926380368
"01","Quickborn",6.95,205,97,108,29,"25712",9.206618,54.009975,"01051089",2010,5,0,0.024390243902439
"01","Sankt Michaelisdonn",23.05,3635,1795,1840,158,"25693",9.122147,53.994437,"01051097",2010,111,7,0.0305364511691884
"01","Süderhastedt",15.74,866,419,447,55,"25727",9.208859,54.049909,"01051110",2010,20,0,0.023094688221709
"01","Diekhusen-Fahrstedt",7.46,755,393,362,101,"25709",9.028338,53.942364,"01051021",2010,18,0,0.023841059602649
"01","Friedrichskoog",53.35,2452,1220,1232,46,"25718",8.897409,54.013925,"01051034",2010,86,2,0.0350734094616639
"01","Helse",11.44,946,472,474,83,"25709",9.010226,53.977555,"01051046",2010,21,2,0.0221987315010571
"01","Kaiser-Wilhelm-Koog",13.06,375,189,186,29,"25709",8.926363,53.942933,"01051057",2010,12,0,0.032
"01","Kronprinzenkoog",28.85,892,457,435,31,"25709",8.964497,53.971709,"01051062",2010,24,1,0.0269058295964126
"01","Marne, Stadt",4.83,5825,2730,3095,1206,"25709",9.008761,53.953694,"01051072",2010,277,12,0.0475536480686695
"01","Marnerdeich",1.31,344,183,161,263,"25709",8.983063,53.948488,"01051073",2010,19,0,0.0552325581395349
"01","Neufeld",10.41,620,331,289,60,"25724",9.019045,53.907224,"01051076",2010,18,0,0.0290322580645161
"01","Neufelderkoog",9.76,166,92,74,17,"25724",8.96889,53.906887,"01051077",2010,2,0,0.0120481927710843
"01","Ramhusen",4.8,164,87,77,34,"25715",9.090658,53.941207,"01051090",2010,4,0,0.024390243902439
"01","Schmedeswurth",5.91,206,105,101,35,"25724",9.041004,53.926611,"01051103",2010,10,0,0.0485436893203883
"01","Trennewurth",7.79,263,142,121,34,"25693",9.02715,54.000215,"01051118",2010,8,0,0.0304182509505703
"01","Volsemenhusen",16.78,361,191,170,22,"25693",9.065624,53.9679,"01051119",2010,8,0,0.0221606648199446
"01","Barkenholm",5.11,175,94,81,34,"25791",9.174339,54.237387,"01051005",2010,5,1,0.0285714285714286
"01","Bergewöhrden",2.64,33,14,19,13,"25779",9.209426,54.318469,"01051008",2010,1,0,0.0303030303030303
"01","Dellstedt",21.77,788,407,381,36,"25786",9.369143,54.237892,"01051019",2010,35,1,0.0444162436548223
"01","Delve",15.84,717,366,351,45,"25788",9.252364,54.303977,"01051020",2010,22,0,0.0306834030683403
"01","Dörpling",7.82,635,320,315,81,"25794",9.301925,54.260654,"01051023",2010,26,0,0.0409448818897638
"01","Fedderingen",9.69,283,140,143,29,"25779",9.132642,54.281143,"01051030",2010,10,0,0.0353356890459364
