"land","name","area_km2","pop_tot","pop_male","pop_female","pop_density_km2","zip","lon","lat","ags","year","east","unem_tot","unem_foreigner","unem_capita"
"01","Flensburg, Stadt",56.74,84694,41826,42868,1493,"24937",9.43751,54.78252,"01001000",2014,0,5087,530,0.0600632866554892
"01","Kiel, Landeshauptstadt",118.65,243148,118032,125116,2049,"24103",10.13727,54.321775,"01002000",2014,0,13109,2324,0.0539136657509007
"01","Lübeck, Hansestadt",214.21,214420,102519,111901,1001,"23539",10.683932,53.866269,"01003000",2014,0,10992,1717,0.0512638746385598
"01","Neumünster, Stadt",71.63,77588,37940,39648,1083,"24534",9.988422,54.069895,"01004000",2014,0,4430,655,0.0570964582151879
"01","Brunsbüttel, Stadt",65.24,12642,6318,6324,194,"25541",9.126939,53.896665,"01051011",2014,0,535,42,0.0423192532827084
"01","Heide, Stadt",31.97,21303,10010,11293,666,"25746",9.095401,54.195834,"01051044",2014,0,1090,127,0.0511665023705581
"01","Averlak",9.07,586,301,285,65,"25715",9.182663,53.941154,"01051003",2014,0,13,0,0.0221843003412969
"01","Brickeln",6.07,206,104,102,34,"25712",9.221166,54.00849,"01051010",2014,0,8,0,0.0388349514563107
"01","Buchholz",14.55,1003,504,499,69,"25712",9.223594,53.987198,"01051012",2014,0,23,0,0.0229312063808574
"01","Burg (Dithmarschen)",11.23,4185,2018,2167,373,"25712",9.258097,53.995937,"01051016",2014,0,195,12,0.046594982078853
"01","Dingen",7.02,630,324,306,90,"25715",9.125804,53.960888,"01051022",2014,0,14,0,0.0222222222222222
"01","Eddelak",9.21,1373,670,703,149,"25715",9.137789,53.945505,"01051024",2014,0,38,0,0.0276766205389658
"01","Eggstedt",12.79,759,374,385,59,"25721",9.25927,54.054535,"01051026",2014,0,25,2,0.0329380764163373
"01","Frestedt",10.32,374,189,185,36,"25727",9.175759,54.023639,"01051032",2014,0,13,0,0.0347593582887701
"01","Großenrade",10.4,489,243,246,47,"25712",9.223436,54.022051,"01051037",2014,0,13,1,0.0265848670756646
"01","Hochdonn",5.46,1151,566,585,211,"25712",9.29316,54.019565,"01051051",2014,0,44,2,0.0382276281494353
"01","Kuden",11.37,618,324,294,54,"25712",9.192822,53.967853,"01051064",2014,0,14,0,0.0226537216828479
"01","Quickborn",6.95,197,96,101,28,"25712",9.206619,54.009975,"01051089",2014,0,4,0,0.0203045685279188
"01","Sankt Michaelisdonn",23.06,3501,1737,1764,152,"25693",9.122148,53.994438,"01051097",2014,0,125,9,0.0357040845472722
"01","Süderhastedt",15.74,843,405,438,54,"25727",9.20886,54.04991,"01051110",2014,0,24,0,0.0284697508896797
"01","Diekhusen-Fahrstedt",7.46,727,379,348,97,"25709",9.028338,53.942365,"01051021",2014,0,16,2,0.0220082530949106
"01","Friedrichskoog",53.35,2502,1247,1255,47,"25718",8.89741,54.013926,"01051034",2014,0,75,2,0.0299760191846523
"01","Helse",11.44,853,432,421,75,"25709",9.010226,53.977556,"01051046",2014,0,22,1,0.0257913247362251
"01","Kaiser-Wilhelm-Koog",13.06,341,173,168,26,"25709",8.926364,53.942933,"01051057",2014,0,9,0,0.0263929618768328
"01","Kronprinzenkoog",28.85,816,412,404,28,"25709",8.964498,53.971709,"01051062",2014,0,24,1,0.0294117647058824
"01","Marne, Stadt",4.83,5635,2675,2960,1167,"25709",9.008761,53.953695,"01051072",2014,0,215,6,0.0381543921916593
"01","Marnerdeich",1.31,386,205,181,295,"25709",8.983369,53.94846,"01051073",2014,0,12,1,0.0310880829015544
"01","Neufeld",10.41,605,309,296,58,"25724",9.019046,53.907224,"01051076",2014,0,15,1,0.0247933884297521
"01","Neufelderkoog",9.76,122,66,56,13,"25724",8.968891,53.906887,"01051077",2014,0,2,0,0.0163934426229508
"01","Ramhusen",4.8,154,79,75,32,"25715",9.090658,53.941207,"01051090",2014,0,3,1,0.0194805194805195
"01","Schmedeswurth",5.91,195,105,90,33,"25724",9.040335,53.926172,"01051103",2014,0,4,0,0.0205128205128205
"01","Trennewurth",7.79,249,134,115,32,"25693",9.02715,54.000216,"01051118",2014,0,4,0,0.0160642570281124
"01","Volsemenhusen",16.78,352,181,171,21,"25693",9.065625,53.967901,"01051119",2014,0,6,0,0.0170454545454545
"01","Barkenholm",5.11,170,92,78,33,"25791",9.174339,54.237387,"01051005",2014,0,5,0,0.0294117647058824
"01","Bergewöhrden",2.64,35,17,18,13,"25779",9.209426,54.318469,"01051008",2014,0,3,0,0.0857142857142857
"01","Dellstedt",21.77,734,386,348,34,"25786",9.369143,54.237892,"01051019",2014,0,21,1,0.0286103542234332
"01","Delve",15.84,676,337,339,43,"25788",9.252365,54.303978,"01051020",2014,0,20,1,0.029585798816568
"01","Dörpling",7.82,614,311,303,79,"25794",9.301925,54.260654,"01051023",2014,0,19,2,0.0309446254071661
"01","Fedderingen",9.69,281,134,147,29,"25779",9.132642,54.281144,"01051030",2014,0,6,0,0.0213523131672598
"01","Gaushorn",6.45,194,92,102,30,"25782",9.225318,54.194896,"01051035",2014,0,7,0,0.0360824742268041
"01","Glüsing",4.69,117,63,54,25,"25779",9.216421,54.274547,"01051036",2014,0,4,0,0.0341880341880342
"01","Groven",7.9,79,49,30,10,"25774",8.989147,54.300165,"01051038",2014,0,1,0,0.0126582278481013
"01","Hemme",16.53,497,260,237,30,"25774",9.010966,54.28021,"01051047",2014,0,23,1,0.0462776659959759
"01","Hennstedt",21.93,1957,987,970,89,"25779",9.168248,54.283636,"01051049",2014,0,62,1,0.0316811446090956
"01","Hövede",2.94,61,31,30,21,"25782",9.293409,54.243806,"01051052",2014,0,3,0,0.0491803278688525
"01","Hollingstedt",9.74,314,158,156,32,"25788",9.226797,54.290548,"01051053",2014,0,8,0,0.0254777070063694
"01","Karolinenkoog",17.55,141,78,63,8,"25774",8.965425,54.292379,"01051058",2014,0,2,0,0.0141843971631206
"01","Kleve",12.81,430,216,214,34,"25779",9.123185,54.295634,"01051060",2014,0,14,0,0.0325581395348837
"01","Krempel",4.83,596,304,292,123,"25774",9.027607,54.320019,"01051061",2014,0,24,1,0.0402684563758389
"01","Lehe",18.63,1056,527,529,57,"25774",9.025334,54.344168,"01051065",2014,0,21,0,0.0198863636363636
"01","Linden",11.62,860,431,429,74,"25791",9.182428,54.252623,"01051068",2014,0,13,0,0.0151162790697674
"01","Lunden",4.65,1707,873,834,367,"25774",9.024249,54.330568,"01051071",2014,0,114,3,0.0667838312829526
"01","Norderheistedt",4.33,149,74,75,34,"25779",9.146139,54.245331,"01051080",2014,0,7,0,0.0469798657718121
"01","Pahlen",10.8,1199,608,591,111,"25794",9.296387,54.267813,"01051088",2014,0,43,2,0.0358632193494579
"01","Rehm-Flehde-Bargen",14.62,503,252,251,34,"25776",9.038383,54.291775,"01051092",2014,0,17,0,0.0337972166998012
"01","Sankt Annen",14.89,314,163,151,21,"25776",9.07975,54.345413,"01051096",2014,0,10,0,0.0318471337579618
"01","Schalkholz",12.5,590,295,295,47,"25782",9.257028,54.246244,"01051100",2014,0,17,0,0.0288135593220339
"01","Schlichting",12.5,243,131,112,19,"25779",9.089378,54.31014,"01051102",2014,0,14,1,0.0576131687242798
"01","Tellingstedt",21.1,2697,1320,1377,128,"25782",9.281893,54.219968,"01051114",2014,0,86,2,0.0318872821653689
"01","Tielenhemme",12.71,167,83,84,13,"25794",9.378654,54.269463,"01051117",2014,0,5,0,0.029940119760479
"01","Wallen",1.86,32,16,16,17,"25788",9.269538,54.2845,"01051120",2014,0,1,0,0.03125
"01","Welmbüttel",7.6,439,223,216,58,"25782",9.246826,54.196873,"01051125",2014,0,23,3,0.0523917995444191
"01","Westerborstel",4.14,106,50,56,26,"25782",9.260601,54.220136,"01051131",2014,0,2,0,0.0188679245283019
"01","Wiemerstedt",5.08,154,75,79,30,"25779",9.111231,54.269297,"01051133",2014,0,4,0,0.025974025974026
"01","Wrohm",11.45,699,365,334,61,"25799",9.379505,54.212642,"01051136",2014,0,21,0,0.0300429184549356
"01","Süderdorf",16.21,354,177,177,22,"25782",9.343789,54.207468,"01051139",2014,0,3,0,0.00847457627118644
"01","Süderheistedt",8.44,539,269,270,64,"25779",9.148463,54.23483,"01051141",2014,0,9,0,0.0166975881261596
"01","Hemmingstedt",16.01,2876,1467,1409,180,"25770",9.073156,54.14876,"01051048",2014,0,91,4,0.0316411682892907
"01","Lieth",4.66,390,179,211,84,"25770",9.060773,54.15531,"01051067",2014,0,8,0,0.0205128205128205
"01","Lohe-Rickelshof",5.39,2098,987,1111,389,"25746",9.065769,54.187792,"01051069",2014,0,46,1,0.0219256434699714
"01","Neuenkirchen",25.14,1000,522,478,40,"25792",8.988145,54.235651,"01051075",2014,0,25,0,0.025
"01","Norderwöhrden",18.47,287,151,136,16,"25746",9.000232,54.192783,"01051081",2014,0,5,0,0.0174216027874564
"01","Nordhastedt",26.56,2784,1387,1397,105,"25785",9.182991,54.17205,"01051082",2014,0,76,4,0.0272988505747126
"01","Ostrohe",6.67,934,470,464,140,"25746",9.130804,54.214,"01051087",2014,0,16,0,0.0171306209850107
"01","Stelle-Wittenwurth",10.71,428,194,234,40,"25795",9.061114,54.262554,"01051107",2014,0,12,0,0.0280373831775701
"01","Wöhrden",21.77,1262,640,622,58,"25797",8.994508,54.165463,"01051113",2014,0,36,1,0.0285261489698891
"01","Weddingstedt",17.79,2279,1122,1157,128,"25795",9.088863,54.239275,"01051122",2014,0,51,1,0.0223782360684511
"01","Wesseln",3.76,1417,708,709,377,"25746",9.075443,54.208327,"01051130",2014,0,25,1,0.0176429075511644
"01","Albersdorf",17.12,3470,1679,1791,203,"25767",9.283995,54.146557,"01051001",2014,0,147,8,0.0423631123919308
"01","Arkebek",6.92,219,110,109,32,"25767",9.250325,54.159662,"01051002",2014,0,5,0,0.0228310502283105
"01","Bargenstedt",11.9,943,451,492,79,"25704",9.144199,54.095594,"01051004",2014,0,25,1,0.0265111346765642
"01","Barlt",22.88,798,401,397,35,"25719",9.058002,54.012444,"01051006",2014,0,23,3,0.0288220551378446
"01","Bunsoh",11.75,796,399,397,68,"25767",9.320225,54.165522,"01051015",2014,0,25,1,0.0314070351758794
"01","Busenwurth",10.09,298,160,138,30,"25719",9.04131,54.041612,"01051017",2014,0,10,3,0.0335570469798658
"01","Elpersbüttel",30.17,857,440,417,28,"25704",9.047156,54.072963,"01051027",2014,0,20,1,0.0233372228704784
"01","Epenwöhrden",13.52,775,382,393,57,"25704",9.052894,54.112805,"01051028",2014,0,20,1,0.0258064516129032
"01","Gudendorf",6.04,388,194,194,64,"25693",9.1082,54.024745,"01051039",2014,0,11,0,0.0283505154639175
"01","Immenstedt",3.09,107,48,59,35,"25767",9.299737,54.180686,"01051054",2014,0,1,0,0.00934579439252336
"01","Krumstedt",15.89,502,249,253,32,"25727",9.177954,54.068684,"01051063",2014,0,10,0,0.0199203187250996
