"land","name","area_km2","pop_tot","pop_male","pop_female","pop_density_km2","zip","lon","lat","ags","year","east","unem_tot","unem_foreigner","unem_capita"
"01","Flensburg, Stadt",56.74,87432,43617,43815,1541,"24937",9.43751,54.78252,"01001000",2016,0,4495,783,0.051411382560161
"01","Kiel, Landeshauptstadt",118.65,247441,120473,126968,2085,"24103",10.13727,54.321775,"01002000",2016,0,12867,2868,0.0520002748129857
"01","Lübeck, Hansestadt",214.21,216712,103921,112791,1012,"23539",10.683932,53.866269,"01003000",2016,0,10078,1801,0.0465041160618701
"01","Neumünster, Stadt",71.63,79680,39438,40242,1112,"24534",9.988422,54.069895,"01004000",2016,0,3957,703,0.0496611445783133
"01","Brunsbüttel, Stadt",65.2,12801,6433,6368,196,"25541",9.13735,53.896932,"01051011",2016,0,513,79,0.0400749941410827
"01","Heide, Stadt",31.97,21529,10208,11321,673,"25746",9.091156,54.193962,"01051044",2016,0,1177,224,0.0546704445166984
"01","Averlak",9.07,576,302,274,64,"25715",9.182663,53.941154,"01051003",2016,0,12,1,0.0208333333333333
"01","Brickeln",6.07,220,115,105,36,"25712",9.221166,54.00849,"01051010",2016,0,6,NA,0.0272727272727273
"01","Buchholz",14.56,1005,511,494,69,"25712",9.223594,53.987198,"01051012",2016,0,22,1,0.0218905472636816
"01","Burg (Dithmarschen)",11.23,4128,2015,2113,368,"25712",9.26246,53.99748,"01051016",2016,0,174,15,0.0421511627906977
"01","Dingen",7.02,620,312,308,88,"25715",9.125804,53.960888,"01051022",2016,0,12,1,0.0193548387096774
"01","Eddelak",9.21,1363,673,690,148,"25715",9.137433,53.945888,"01051024",2016,0,38,1,0.0278796771826853
"01","Eggstedt",12.79,760,380,380,59,"25721",9.25927,54.054535,"01051026",2016,0,17,1,0.0223684210526316
"01","Frestedt",10.33,360,186,174,35,"25727",9.175759,54.023639,"01051032",2016,0,6,NA,0.0166666666666667
"01","Großenrade",10.4,477,239,238,46,"25712",9.223435,54.02206,"01051037",2016,0,15,0,0.0314465408805031
"01","Hochdonn",5.46,1151,567,584,211,"25712",9.293145,54.019564,"01051051",2016,0,45,2,0.0390964378801043
"01","Kuden",11.37,611,320,291,54,"25712",9.192822,53.967853,"01051064",2016,0,15,NA,0.0245499181669394
"01","Quickborn",6.95,179,88,91,26,"25712",9.206618,54.009984,"01051089",2016,0,3,0,0.0167597765363128
"01","Sankt Michaelisdonn",23.07,3420,1697,1723,148,"25693",9.122148,53.994438,"01051097",2016,0,110,4,0.0321637426900585
"01","Süderhastedt",15.74,836,406,430,53,"25727",9.20886,54.04991,"01051110",2016,0,15,NA,0.0179425837320574
"01","Diekhusen-Fahrstedt",7.46,730,361,369,98,"25709",9.019338,53.947392,"01051021",2016,0,16,2,0.0219178082191781
"01","Friedrichskoog",53.35,2541,1288,1253,48,"25718",8.89741,54.013926,"01051034",2016,0,70,4,0.0275482093663912
"01","Helse",11.44,851,435,416,74,"25709",9.010226,53.977556,"01051046",2016,0,15,NA,0.0176263219741481
"01","Kaiser-Wilhelm-Koog",13.06,349,181,168,27,"25709",8.926364,53.942933,"01051057",2016,0,8,NA,0.0229226361031519
"01","Kronprinzenkoog",28.85,823,417,406,29,"25709",8.964528,53.97171,"01051062",2016,0,24,1,0.0291616038882139
"01","Marne, Stadt",4.83,5796,2757,3039,1200,"25709",9.008761,53.953695,"01051072",2016,0,222,26,0.0383022774327122
"01","Marnerdeich",1.31,395,208,187,302,"25709",8.982956,53.948483,"01051073",2016,0,17,2,0.0430379746835443
"01","Neufeld",10.41,584,297,287,56,"25724",9.019046,53.907224,"01051076",2016,0,14,0,0.023972602739726
"01","Neufelderkoog",9.76,119,63,56,12,"25724",8.968827,53.906958,"01051077",2016,0,2,NA,0.0168067226890756
"01","Ramhusen",4.8,160,81,79,33,"25715",9.090658,53.941207,"01051090",2016,0,2,NA,0.0125
"01","Schmedeswurth",5.91,187,99,88,32,"25724",9.040335,53.926172,"01051103",2016,0,2,NA,0.0106951871657754
"01","Trennewurth",7.79,253,139,114,32,"25693",9.025792,54.000236,"01051118",2016,0,6,NA,0.0237154150197628
"01","Volsemenhusen",16.78,351,189,162,21,"25693",9.065625,53.967901,"01051119",2016,0,8,0,0.0227920227920228
"01","Barkenholm",5.11,164,88,76,32,"25791",9.174339,54.237387,"01051005",2016,0,3,0,0.0182926829268293
"01","Bergewöhrden",2.64,34,15,19,13,"25779",9.209426,54.318469,"01051008",2016,0,0,NA,0
"01","Dellstedt",21.77,740,388,352,34,"25786",9.369143,54.237892,"01051019",2016,0,25,4,0.0337837837837838
"01","Delve",15.84,678,343,335,43,"25788",9.252365,54.303978,"01051020",2016,0,16,1,0.023598820058997
"01","Dörpling",7.82,610,315,295,78,"25794",9.301925,54.260654,"01051023",2016,0,16,NA,0.0262295081967213
"01","Fedderingen",9.69,285,143,142,29,"25779",9.132642,54.281144,"01051030",2016,0,7,0,0.0245614035087719
"01","Gaushorn",6.45,174,84,90,27,"25782",9.225318,54.194896,"01051035",2016,0,9,0,0.0517241379310345
"01","Glüsing",4.69,124,62,62,26,"25779",9.216421,54.274547,"01051036",2016,0,2,0,0.0161290322580645
"01","Groven",7.9,88,53,35,11,"25774",8.989147,54.300165,"01051038",2016,0,3,0,0.0340909090909091
"01","Hemme",16.53,494,263,231,30,"25774",9.010966,54.28021,"01051047",2016,0,17,3,0.034412955465587
"01","Hennstedt",21.93,1943,965,978,89,"25779",9.168248,54.283636,"01051049",2016,0,64,5,0.0329387545033453
"01","Hövede",2.94,64,32,32,22,"25782",9.293409,54.243806,"01051052",2016,0,1,NA,0.015625
"01","Hollingstedt",9.74,300,147,153,31,"25788",9.226797,54.290548,"01051053",2016,0,5,1,0.0166666666666667
"01","Karolinenkoog",17.55,144,82,62,8,"25774",8.965495,54.292554,"01051058",2016,0,8,0,0.0555555555555556
"01","Kleve",12.81,426,223,203,33,"25779",9.123229,54.295706,"01051060",2016,0,13,0,0.0305164319248826
"01","Krempel",4.83,589,294,295,122,"25774",9.027607,54.320019,"01051061",2016,0,21,0,0.0356536502546689
"01","Lehe",18.63,1062,528,534,57,"25774",9.025334,54.344168,"01051065",2016,0,28,1,0.0263653483992467
"01","Linden",11.62,861,440,421,74,"25791",9.182428,54.252623,"01051068",2016,0,17,0,0.0197444831591173
"01","Lunden",4.65,1700,862,838,366,"25774",9.024249,54.330568,"01051071",2016,0,122,19,0.0717647058823529
"01","Norderheistedt",4.33,142,73,69,33,"25779",9.146139,54.245331,"01051080",2016,0,6,0,0.0422535211267606
"01","Pahlen",10.8,1199,599,600,111,"25794",9.296387,54.267813,"01051088",2016,0,39,2,0.0325271059216013
"01","Rehm-Flehde-Bargen",14.63,512,249,263,35,"25776",9.036287,54.303981,"01051092",2016,0,17,2,0.033203125
"01","Sankt Annen",14.89,325,173,152,22,"25776",9.07975,54.345413,"01051096",2016,0,6,0,0.0184615384615385
"01","Schalkholz",12.5,588,295,293,47,"25782",9.257028,54.246244,"01051100",2016,0,16,NA,0.0272108843537415
"01","Schlichting",12.5,246,127,119,20,"25779",9.089378,54.31014,"01051102",2016,0,12,2,0.0487804878048781
"01","Tellingstedt",21.1,2638,1299,1339,125,"25782",9.2822,54.219944,"01051114",2016,0,86,11,0.0326004548900682
"01","Tielenhemme",12.71,167,83,84,13,"25794",9.398414,54.27746,"01051117",2016,0,7,NA,0.0419161676646707
"01","Wallen",1.86,37,17,20,20,"25788",9.269563,54.284766,"01051120",2016,0,NA,NA,NA
"01","Welmbüttel",7.6,436,210,226,57,"25782",9.246826,54.196873,"01051125",2016,0,25,8,0.0573394495412844
"01","Westerborstel",4.14,106,48,58,26,"25782",9.260601,54.220127,"01051131",2016,0,3,0,0.0283018867924528
"01","Wiemerstedt",5.08,154,71,83,30,"25779",9.11111,54.269259,"01051133",2016,0,5,NA,0.0324675324675325
"01","Wrohm",11.45,677,364,313,59,"25799",9.379505,54.212642,"01051136",2016,0,27,5,0.0398818316100443
"01","Süderdorf",16.21,361,183,178,22,"25782",9.343678,54.220732,"01051139",2016,0,4,NA,0.0110803324099723
"01","Süderheistedt",8.44,552,272,280,65,"25779",9.148463,54.23483,"01051141",2016,0,15,1,0.0271739130434783
"01","Hemmingstedt",16.01,2863,1425,1438,179,"25770",9.073156,54.14876,"01051048",2016,0,80,11,0.02794271742927
"01","Lieth",4.66,391,182,209,84,"25770",9.060773,54.15531,"01051067",2016,0,10,1,0.0255754475703325
"01","Lohe-Rickelshof",5.39,2091,995,1096,388,"25746",9.065603,54.187725,"01051069",2016,0,39,1,0.0186513629842181
"01","Neuenkirchen",25.14,999,527,472,40,"25792",8.987884,54.235602,"01051075",2016,0,30,6,0.03003003003003
"01","Norderwöhrden",18.47,269,147,122,15,"25746",9.000232,54.192783,"01051081",2016,0,2,NA,0.00743494423791822
