GENESIS-Tabelle: 12411-0015
Bevölkerung: Kreise, Stichtag;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016
05116;Mönchengladbach, kreisfreie Stadt;258251;257993;254834;255087;255430;256853;259996;260925
05117;Mülheim an der Ruhr, kreisfreie Stadt;167471;167344;166804;166654;166640;167108;169278;170936
05119;Oberhausen, kreisfreie Stadt;214024;212945;210256;210005;209097;209292;210934;211382
05120;Remscheid, kreisfreie Stadt;111422;110563;110132;109352;108955;109009;109499;110611
05122;Solingen, kreisfreie Stadt;160992;159927;155080;155316;155768;156771;158726;158908
05124;Wuppertal, kreisfreie Stadt;351050;349721;342570;342885;343488;345425;350046;352390
05154;Kleve, Landkreis;308090;307807;301171;301977;302698;304963;310337;310329
05158;Mettmann, Landkreis;496445;495155;477919;477397;476633;477760;483279;484770
05162;Rhein-Kreis Neuss;443112;443286;437732;439225;440602;442522;450026;447431
05166;Viersen, Landkreis;301797;300417;295982;295448;294921;295067;297661;298422
05170;Wesel, Landkreis;470364;468619;459740;458329;457033;457244;462664;461715
05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-;-;-;-
05314;Bonn, kreisfreie Stadt;319841;324899;307530;309869;311287;313958;318809;322125
05315;Köln, kreisfreie Stadt;998105;1007119;1013665;1024373;1034175;1046680;1060582;1075935
05316;Leverkusen, kreisfreie Stadt;160593;160772;159373;159926;160819;161540;163487;163113
05334;Städteregion Aachen, Landkreis;566347;565714;541521;542833;545067;547661;553922;552472
05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-
05358;Düren, Landkreis;268637;267712;258524;258651;258385;259073;262828;262072
05362;Rhein-Erft-Kreis;464018;464130;452792;454792;456602;459448;466657;465549
05366;Euskirchen, Landkreis;192088;190962;187801;187724;187437;188158;191165;191202
05370;Heinsberg, Landkreis;255158;254936;248161;247827;248233;249310;252527;252651
05374;Oberbergischer Kreis;282636;280840;272287;271332;270290;270618;273452;273139
05378;Rheinisch-Bergischer Kreis;277214;276927;277816;277997;278440;279497;282729;283304
05382;Rhein-Sieg-Kreis;598407;598736;579594;580588;582280;585781;596213;597854
05512;Bottrop, kreisfreie Stadt;117241;116771;117074;116498;116055;116017;117143;117409
05513;Gelsenkirchen, kreisfreie Stadt;259744;257981;257994;257607;257850;257651;260368;262528
05515;Münster, kreisfreie Stadt;275543;279803;293393;296599;299708;302178;310039;311846
05554;Borken, Landkreis;369666;369633;364093;363819;364271;365191;369666;369226
05558;Coesfeld, Landkreis;220261;219784;215031;215087;215282;215996;218401;219019
05562;Recklinghausen, Landkreis;632535;628817;617831;615778;613878;613092;617807;617195
05566;Steinfurt, Landkreis;443643;443357;433820;434170;434481;437127;443374;444409
05570;Warendorf, Landkreis;279003;278145;272985;272832;272623;273412;277431;277744
