GENESIS-Tabelle: 12411-0015
Bevölkerung: Kreise, Stichtag;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016
09764;Memmingen, kreisfreie Stadt;41085;41025;41242;41551;41772;42201;42841;43293
09771;Aichach-Friedberg, Landkreis;127859;127955;126720;127250;128435;129294;130916;131399
09772;Augsburg, Landkreis;239898;240068;237839;239004;240911;242697;245600;247539
09773;Dillingen an der Donau, Landkreis;94009;93539;93212;93122;93129;93478;94575;94556
09774;Günzburg, Landkreis;120619;120451;120134;120130;120696;121828;123153;123498
09775;Neu-Ulm, Landkreis;165201;165461;164388;165270;166643;167847;170309;171011
09776;Lindau (Bodensee), Landkreis;79858;79769;78455;78641;78939;79387;80429;80961
09777;Ostallgäu, Landkreis;134070;133881;133607;134118;134771;135894;137709;138265
09778;Unterallgäu, Landkreis;135286;135366;135597;136383;137484;138712;140419;141165
09779;Donau-Ries, Landkreis;129181;128867;128072;128939;129422;130203;131345;132298
09780;Oberallgäu, Landkreis;150153;149926;148691;149457;150478;150981;152672;153759
10041;Regionalverband Saarbrücken, Landkreis;333469;332333;326996;326638;325978;325604;327380;329593
10042;Merzig-Wadern, Landkreis;105241;104843;103639;103520;103135;102987;103997;103908
10043;Neunkirchen, Landkreis;138586;137247;134957;134099;133222;133021;133735;133984
10044;Saarlouis, Landkreis;204448;203308;197452;196611;195976;195632;197009;196609
10045;Saarpfalz-Kreis;149680;149240;145099;144291;143851;143532;144584;144100
10046;Sankt Wendel, Landkreis;91161;90596;89712;89128;88556;88259;88892;88457
11000;Berlin, kreisfreie Stadt;3442675;3460725;3326002;3375222;3421829;3469849;3520031;3574830
12051;Brandenburg an der Havel, kreisfreie Stadt;72264;71778;71381;71149;71032;71032;71574;71664
12052;Cottbus, kreisfreie Stadt;101671;102091;99974;99913;99595;99491;99687;100416
12053;Frankfurt (Oder), kreisfreie Stadt;60625;60330;59063;58537;58018;57649;58092;58193
12054;Potsdam, kreisfreie Stadt;154606;156906;157603;159456;161468;164042;167745;171810
12060;Barnim, Landkreis;176904;176848;172572;173193;173754;174981;177411;179365
12061;Dahme-Spreewald, Landkreis;161708;161805;160108;160314;160793;161952;164528;166074
12062;Elbe-Elster, Landkreis;113586;111975;109087;107649;106157;104997;104673;104397
12063;Havelland, Landkreis;154984;154891;152915;153294;153874;155408;158236;159685
12064;Märkisch-Oderland, Landkreis;191067;190502;187085;186925;187668;188422;190714;191685
12065;Oberhavel, Landkreis;202776;203124;201199;202162;203012;204898;207524;208639
12066;Oberspreewald-Lausitz, Landkreis;123426;121679;116898;115212;113842;112896;112450;111962
12067;Oder-Spree, Landkreis;185062;183859;177764;177047;176850;177823;182397;178849
12068;Ostprignitz-Ruppin, Landkreis;103734;102868;99753;99125;98944;98886;99110;99414
12069;Potsdam-Mittelmark, Landkreis;204594;205070;203391;204388;205520;207498;210910;212207
12070;Prignitz, Landkreis;83086;82023;79574;78799;77993;77550;77573;77813
12071;Spree-Neiße, Landkreis;128470;126400;121571;120178;118899;118030;117635;116826
12072;Teltow-Fläming, Landkreis;161847;161386;159511;159686;160448;161488;163553;164771
12073;Uckermark, Landkreis;131115;129738;123731;122484;121326;120829;121014;120878
13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);54362;54610;-;-;-;-;-;-
13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);65137;65282;-;-;-;-;-;-
13003;Rostock, kreisfreie Stadt;201442;202735;201813;202887;203431;204167;206011;207513
13004;Schwerin, kreisfreie Stadt;95041;95220;91327;91264;91583;92138;96800;95668
13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);57778;57670;-;-;-;-;-;-
13006;Wismar, kreisfreie Stadt (bis 03.09.2011);44470;44397;-;-;-;-;-;-
13051;Bad Doberan, Landkreis (bis 03.09.2011);117430;117197;-;-;-;-;-;-
13052;Demmin, Landkreis (bis 03.09.2011);80643;79466;-;-;-;-;-;-
13053;Güstrow, Landkreis (bis 03.09.2011);99943;98992;-;-;-;-;-;-
13054;Ludwigslust, Landkreis (bis 03.09.2011);123528;122564;-;-;-;-;-;-
13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);78562;77509;-;-;-;-;-;-
13056;Müritz, Landkreis (bis 03.09.2011);65210;64615;-;-;-;-;-;-
13057;Nordvorpommern, Landkreis (bis 03.09.2011);106664;105547;-;-;-;-;-;-
13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);117033;116026;-;-;-;-;-;-
13059;Ostvorpommern, Landkreis (bis 03.09.2011);105924;105036;-;-;-;-;-;-
13060;Parchim, Landkreis (bis 03.09.2011);96896;95798;-;-;-;-;-;-
13061;Rügen, Landkreis (bis 03.09.2011);68126;67526;-;-;-;-;-;-
13062;Uecker-Randow, Landkreis (bis 03.09.2011);73027;72137;-;-;-;-;-;-
13071;Mecklenburgische Seenplatte, Landkreis;-;-;266593;264261;262412;261733;262517;261816
13072;Rostock, Landkreis;-;-;211863;210732;210555;211878;213473;213945
13073;Vorpommern-Rügen, Landkreis;-;-;224751;223718;223109;223470;224820;224971
13074;Nordwestmecklenburg, Landkreis;-;-;156004;155801;155265;155424;156270;156825
13075;Vorpommern-Greifswald, Landkreis;-;-;240971;239291;238185;237697;238358;237374
13076;Ludwigslust-Parchim, Landkreis;-;-;213577;212373;211965;212631;214113;212562
14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-
14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-
14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-
14171;Annaberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14177;Freiberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14178;Vogtlandkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14182;Mittweida, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14188;Stollberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14193;Zwickauer Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-
14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-
14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-
14272;Bautzen, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14280;Meißen, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-;-;-;-;-;-;-;-
14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14290;Weißeritzkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14292;Kamenz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-
14374;Delitzsch, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14375;Döbeln, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14379;Leipziger Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14383;Muldentalkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-
14511;Chemnitz, kreisfreie Stadt;243089;243248;240543;241210;242022;243521;248645;246353
14521;Erzgebirgskreis;372390;368167;359103;355275;351309;349582;347665;344136
14522;Mittelsachsen, Landkreis;332236;328342;320062;317204;314591;312711;312450;310505
14523;Vogtlandkreis;247196;244402;238443;236227;233970;232390;232318;231051
14524;Zwickau, Landkreis;345118;341932;333291;330294;327062;325137;324534;322099
14612;Dresden, kreisfreie Stadt;517052;523058;517765;525105;530754;536308;543825;547172
14625;Bautzen, Landkreis;325032;321511;313618;310898;308350;306570;306273;304691
14626;Görlitz, Landkreis;281076;276924;267815;264673;262168;260188;260000;258337
14627;Meißen, Landkreis;254483;253069;246237;244717;243716;243745;245244;243889
14628;Sächsische Schweiz-Osterzgebirge, Landkreis;253843;252308;246275;245927;245939;245954;247412;246066
14713;Leipzig, kreisfreie Stadt;518862;522883;510043;520838;531562;544479;560472;571088
14729;Leipzig, Landkreis;269694;267410;260925;259207;257596;257647;258408;258333
14730;Nordsachsen, Landkreis;208661;206223;200062;198629;197346;197042;197605;198063
15001;Dessau-Roßlau, kreisfreie Stadt;87764;86906;85488;84606;83616;83061;82919;82505
15002;Halle (Saale), kreisfreie Stadt;232323;232963;230494;231440;231565;232470;236991;238005
15003;Magdeburg, kreisfreie Stadt;230456;231525;228910;229924;231021;232305;235723;238136
15081;Altmarkkreis Salzwedel;90471;89512;87624;86878;86312;86071;86164;85236
15082;Anhalt-Bitterfeld, Landkreis;179263;176642;170827;168475;166828;165076;164817;163100
15083;Börde, Landkreis;180702;178880;175198;174001;172955;172830;173473;172959
15084;Burgenlandkreis;196422;194195;188149;186081;184956;184055;184081;183174
15085;Harz, Landkreis;234690;232343;225191;223094;221043;219618;221366;219643
15086;Jerichower Land, Landkreis;97355;96251;93242;92367;91721;91359;91693;91345
15087;Mansfeld-Südharz, Landkreis;152523;150295;146659;144735;143246;142054;141408;139781
15088;Saalekreis;199025;196946;190747;189217;187690;186510;186431;185951
15089;Salzlandkreis;212605;209579;203785;201210;198715;196750;196695;194575
15090;Stendal, Landkreis;123674;121899;118268;116666;115471;114668;115262;114393
15091;Wittenberg, Landkreis;138946;137070;132154;130699;129438;128721;128447;127449
15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-
15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15153;Bernburg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15154;Bitterfeld, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15159;Köthen, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15171;Wittenberg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-
15256;Burgenlandkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15260;Mansfelder Land, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15265;Saalkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15266;Sangerhausen, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15268;Weißenfels, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-
15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15355;Bördekreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15357;Halberstadt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15358;Jerichower Land, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15362;Ohrekreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15363;Stendal, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15364;Quedlinburg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15367;Schönebeck, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15369;Wernigerode, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-
15370;Altmarkkreis Salzwedel (bis 30.06.2007);-;-;-;-;-;-;-;-
16051;Erfurt, kreisfreie Stadt;203830;204994;201952;203485;204880;206219;210118;211113
16052;Gera, kreisfreie Stadt;99987;99262;95746;95384;94977;94492;96011;94750
16053;Jena, kreisfreie Stadt;104449;105129;106428;106915;107679;108207;109527;110321
16054;Suhl, kreisfreie Stadt;39526;38776;36570;35967;35665;36208;36778;35608
16055;Weimar, kreisfreie Stadt;65233;65479;62886;63236;63315;63477;64131;64355
16056;Eisenach, kreisfreie Stadt;42847;42750;41708;41744;41567;41884;42417;42588
16061;Eichsfeld, Landkreis;106052;105195;101906;101312;100951;100730;101325;101033
16062;Nordhausen, Landkreis;90357;89963;86734;85921;85380;85055;85355;85098
16063;Wartburgkreis;131820;130560;128105;127227;126283;125835;125655;124729
16064;Unstrut-Hainich-Kreis;109606;108758;105683;104947;104245;103922;105273;103948
16065;Kyffhäuserkreis;82650;81449;79464;78618;77656;77148;77110;76685
16066;Schmalkalden-Meiningen, Landkreis;131312;129982;127042;126208;125574;125056;124623;123506
16067;Gotha, Landkreis;138857;138056;135986;135376;135155;135381;136831;135430
16068;Sömmerda, Landkreis;73688;72877;71544;71005;70833;70537;70600;70118
16069;Hildburghausen, Landkreis;67816;67007;66007;65540;65032;64673;64524;64330
16070;Ilm-Kreis;112804;112350;110135;109531;108958;108899;109620;109167
16071;Weimarer Land, Landkreis;84935;84693;82458;82016;81704;81641;82127;82316
16072;Sonneberg, Landkreis;60560;59954;58465;57802;57252;56809;56818;56507
16073;Saalfeld-Rudolstadt, Landkreis;118303;116818;112555;111463;110307;109646;109278;108315
16074;Saale-Holzland-Kreis;87400;86809;84677;84282;84001;83966;86184;84525
16075;Saale-Orla-Kreis;88632;87799;85259;84435;83654;82887;82951;82362
16076;Greiz, Landkreis;109003;107555;104464;103297;102167;101382;101114;99717
16077;Altenburger Land, Landkreis;100215;98810;95829;94749;93605;92705;92344;91607
__________
Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.
(C)opyright Statistisches Bundesamt (Destatis), 2019
Stand: 07.02.2019 / 02:30:52
