,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden
Bestand an Arbeitslosen nach Rechtskreisen - Insgesamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder, Regierungsbezirke, Kreise und Gemeinden in Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahresdurchschnitt 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Rechtskreise SGB III und SGB II,,,,,,,,,, Rechtskreis SGB III,,,,,,,,,, Rechtskreis SGB II,,,,,,,,,
,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
, Deutschland,"3,238,421 ","55,268 ","325,379 ","931,048 ","532,004 ","500,831 ","8,058 ","36,846 ","102,068 ","53,796 ","1,075,436 ","18,144 ","148,020 ","398,152 ","275,210 ","101,918 ","1,324 ","11,271 ","25,723 ","17,615 ","2,162,984 ","37,124 ","177,359 ","532,896 ","256,794 ","398,913 ","6,735 ","25,575 ","76,344 ","36,181 "
01, Schleswig-Holstein,"107,156 ","2,534 ","12,095 ","27,959 ","15,731 ","11,214 ",206 ,803 ,"2,064 ","1,029 ","37,241 ",812 ,"5,557 ","12,456 ","8,454 ","1,899 ",23 ,174 ,483 ,327 ,"69,915 ","1,722 ","6,538 ","15,503 ","7,277 ","9,316 ",184 ,628 ,"1,582 ",702 
01001000," Flensburg, Stadt","5,491 ",122 ,650 ,"1,271 ",670 ,580 ,8 ,42 ,127 ,75 ,"1,705 ",21 ,207 ,526 ,315 ,136 ,0 ,7 ,54 ,37 ,"3,786 ",100 ,443 ,745 ,356 ,444 ,8 ,35 ,73 ,38 
01002000," Kiel, Landeshauptstadt","13,312 ",213 ,"1,119 ","2,899 ","1,371 ","2,207 ",31 ,118 ,363 ,158 ,"3,005 ",59 ,492 ,769 ,514 ,244 ,4 ,26 ,45 ,31 ,"10,307 ",154 ,626 ,"2,130 ",857 ,"1,964 ",27 ,92 ,318 ,127 
01003000," Lübeck, Hansestadt","11,739 ",280 ,"1,375 ","2,917 ","1,490 ","1,681 ",34 ,136 ,335 ,158 ,"2,573 ",35 ,348 ,868 ,604 ,180 ,2 ,17 ,51 ,37 ,"9,166 ",245 ,"1,027 ","2,049 ",885 ,"1,502 ",32 ,119 ,284 ,120 
01004000," Neumünster, Stadt","4,555 ",145 ,580 ,"1,030 ",558 ,609 ,9 ,39 ,96 ,48 ,"1,202 ",46 ,236 ,376 ,255 ,72 ,2 ,10 ,16 ,11 ,"3,353 ",99 ,344 ,654 ,303 ,537 ,7 ,29 ,80 ,37 
01051, Dithmarschen,"5,494 ",189 ,804 ,"1,364 ",770 ,273 ,7 ,29 ,46 ,23 ,"1,764 ",45 ,289 ,666 ,461 ,44 ,0 ,4 ,13 ,8 ,"3,731 ",144 ,515 ,698 ,309 ,228 ,6 ,25 ,32 ,15 
01051001, Albersdorf,156 ,5 ,21 ,33 ,14 ,6 ,0 ,0 ,0 ,0 ,31 ,1 ,6 ,11 ,6 ,0 ,0 ,0 ,0 ,0 ,125 ,5 ,15 ,22 ,8 ,6 ,0 ,0 ,0 ,0 
01051002, Arkebek,12 ,0 ,0 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 
01051003, Averlak,19 ,1 ,3 ,7 ,4 ,1 ,0 ,0 ,1 ,0 ,10 ,0 ,2 ,5 ,4 ,1 ,0 ,0 ,1 ,0 ,9 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051004, Bargenstedt,30 ,0 ,3 ,13 ,10 ,1 ,0 ,0 ,1 ,1 ,16 ,0 ,2 ,8 ,6 ,1 ,0 ,0 ,1 ,1 ,14 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 
01051005, Barkenholm,5 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
