,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
05762040," Willebadessen, Stadt",257 ,6 ,41 ,89 ,55 ,9 ,0 ,1 ,3 ,2 ,108 ,2 ,24 ,40 ,31 ,2 ,0 ,0 ,1 ,0 ,149 ,4 ,17 ,49 ,24 ,7 ,0 ,1 ,2 ,2 
05766, Lippe,"13,725 ",220 ,"1,555 ","4,170 ","2,426 ","2,042 ",35 ,200 ,426 ,217 ,"4,035 ",45 ,576 ,"1,564 ","1,102 ",293 ,3 ,34 ,63 ,41 ,"9,690 ",175 ,979 ,"2,606 ","1,324 ","1,749 ",32 ,166 ,362 ,176 
05766004, Augustdorf,322 ,8 ,48 ,91 ,47 ,40 ,1 ,5 ,9 ,6 ,119 ,2 ,25 ,36 ,24 ,11 ,0 ,1 ,2 ,2 ,203 ,6 ,23 ,55 ,23 ,29 ,1 ,4 ,6 ,4 
05766008," Bad Salzuflen, Stadt","2,466 ",32 ,245 ,765 ,452 ,528 ,8 ,48 ,98 ,52 ,659 ,4 ,79 ,273 ,196 ,70 ,1 ,11 ,14 ,9 ,"1,807 ",27 ,166 ,492 ,256 ,458 ,7 ,37 ,84 ,43 
05766012," Barntrup, Stadt",365 ,6 ,50 ,115 ,75 ,37 ,0 ,4 ,8 ,3 ,105 ,1 ,20 ,40 ,30 ,3 ,0 ,2 ,0 ,0 ,260 ,4 ,30 ,75 ,45 ,34 ,0 ,2 ,8 ,3 
05766016," Blomberg, Stadt",520 ,9 ,72 ,169 ,104 ,58 ,3 ,8 ,11 ,5 ,189 ,2 ,30 ,83 ,56 ,8 ,1 ,2 ,1 ,1 ,331 ,8 ,43 ,86 ,48 ,50 ,2 ,6 ,10 ,4 
05766020," Detmold, Stadt","3,410 ",72 ,428 ,951 ,514 ,552 ,12 ,64 ,128 ,68 ,756 ,9 ,118 ,263 ,178 ,60 ,1 ,7 ,12 ,9 ,"2,654 ",63 ,310 ,688 ,336 ,492 ,11 ,58 ,115 ,59 
05766024, Dörentrup,280 ,6 ,38 ,86 ,57 ,11 ,0 ,2 ,2 ,2 ,101 ,1 ,17 ,35 ,25 ,2 ,0 ,0 ,0 ,0 ,179 ,5 ,21 ,51 ,32 ,9 ,0 ,1 ,2 ,2 
05766028, Extertal,512 ,6 ,46 ,151 ,98 ,27 ,0 ,1 ,5 ,4 ,148 ,1 ,15 ,69 ,54 ,5 ,0 ,0 ,2 ,2 ,364 ,5 ,32 ,82 ,45 ,22 ,0 ,1 ,3 ,2 
05766032," Horn-Bad Meinberg, Stadt",825 ,11 ,83 ,259 ,141 ,180 ,3 ,14 ,46 ,19 ,217 ,2 ,35 ,82 ,53 ,25 ,0 ,3 ,5 ,2 ,608 ,9 ,47 ,177 ,88 ,155 ,3 ,11 ,41 ,16 
05766036, Kalletal,446 ,6 ,48 ,143 ,93 ,40 ,0 ,2 ,12 ,7 ,182 ,2 ,23 ,71 ,52 ,7 ,0 ,1 ,1 ,1 ,265 ,4 ,25 ,72 ,41 ,33 ,0 ,2 ,11 ,6 
05766040," Lage, Stadt","1,344 ",19 ,143 ,405 ,249 ,187 ,3 ,16 ,34 ,17 ,395 ,8 ,62 ,158 ,115 ,25 ,0 ,2 ,6 ,4 ,948 ,11 ,81 ,247 ,134 ,162 ,3 ,15 ,28 ,14 
05766044," Lemgo, Stadt","1,362 ",18 ,153 ,421 ,226 ,187 ,2 ,16 ,34 ,16 ,436 ,4 ,61 ,158 ,114 ,28 ,0 ,3 ,5 ,4 ,926 ,14 ,92 ,263 ,113 ,159 ,2 ,13 ,29 ,13 
05766048, Leopoldshöhe,395 ,5 ,37 ,141 ,85 ,41 ,0 ,4 ,12 ,6 ,177 ,1 ,20 ,78 ,47 ,12 ,0 ,0 ,5 ,3 ,219 ,4 ,16 ,62 ,38 ,29 ,0 ,4 ,6 ,4 
05766052," Lügde, Stadt der Osterräder",358 ,7 ,51 ,115 ,71 ,43 ,1 ,9 ,6 ,2 ,127 ,3 ,20 ,54 ,39 ,8 ,0 ,2 ,2 ,1 ,231 ,3 ,31 ,61 ,32 ,35 ,1 ,8 ,4 ,0 
05766056," Oerlinghausen, Stadt",529 ,6 ,43 ,174 ,111 ,64 ,0 ,4 ,12 ,7 ,212 ,2 ,20 ,81 ,61 ,19 ,0 ,1 ,3 ,2 ,316 ,4 ,23 ,93 ,50 ,46 ,0 ,3 ,9 ,5 
05766060," Schieder-Schwalenberg, Stadt",299 ,5 ,40 ,95 ,53 ,14 ,0 ,0 ,5 ,3 ,114 ,1 ,20 ,45 ,32 ,4 ,0 ,0 ,2 ,1 ,185 ,4 ,20 ,50 ,20 ,10 ,0 ,0 ,3 ,2 
05766064, Schlangen,293 ,6 ,30 ,89 ,51 ,31 ,1 ,2 ,5 ,2 ,99 ,1 ,11 ,38 ,27 ,6 ,0 ,0 ,1 ,1 ,194 ,4 ,20 ,51 ,24 ,24 ,1 ,1 ,4 ,1 
05770, Minden-Lübbecke,"9,385 ",143 ,"1,079 ","2,802 ","1,706 ","1,161 ",18 ,111 ,211 ,116 ,"3,866 ",49 ,586 ,"1,456 ","1,022 ",248 ,3 ,34 ,54 ,36 ,"5,518 ",93 ,493 ,"1,346 ",684 ,913 ,16 ,77 ,157 ,80 
05770004," Bad Oeynhausen, Stadt","1,450 ",27 ,166 ,452 ,280 ,228 ,5 ,22 ,39 ,20 ,655 ,9 ,88 ,250 ,177 ,57 ,2 ,8 ,13 ,10 ,795 ,18 ,78 ,202 ,103 ,170 ,3 ,14 ,26 ,11 
05770008," Espelkamp, Stadt",634 ,10 ,85 ,216 ,138 ,83 ,0 ,6 ,17 ,12 ,342 ,6 ,64 ,122 ,86 ,23 ,0 ,3 ,4 ,3 ,291 ,4 ,22 ,94 ,51 ,60 ,0 ,3 ,14 ,9 
05770012, Hille,310 ,2 ,36 ,120 ,79 ,18 ,0 ,0 ,2 ,1 ,188 ,2 ,27 ,81 ,60 ,4 ,0 ,0 ,0 ,0 ,122 ,1 ,9 ,39 ,20 ,14 ,0 ,0 ,1 ,1 
05770016, Hüllhorst,254 ,2 ,23 ,79 ,51 ,12 ,0 ,2 ,3 ,2 ,141 ,1 ,16 ,48 ,33 ,4 ,0 ,1 ,1 ,1 ,113 ,1 ,7 ,31 ,17 ,8 ,0 ,1 ,2 ,1 
05770020," Lübbecke, Stadt",770 ,8 ,77 ,243 ,139 ,94 ,0 ,8 ,14 ,7 ,309 ,4 ,48 ,110 ,69 ,26 ,0 ,4 ,5 ,3 ,460 ,4 ,29 ,133 ,70 ,68 ,0 ,4 ,8 ,4 
05770024," Minden, Stadt","3,559 ",60 ,415 ,889 ,511 ,578 ,10 ,58 ,105 ,56 ,"1,018 ",13 ,157 ,363 ,255 ,93 ,0 ,12 ,20 ,13 ,"2,541 ",46 ,258 ,526 ,256 ,485 ,10 ,47 ,86 ,42 
05770028," Petershagen, Stadt",555 ,8 ,68 ,165 ,104 ,33 ,0 ,2 ,8 ,4 ,280 ,3 ,48 ,100 ,68 ,6 ,0 ,1 ,2 ,1 ,275 ,5 ,20 ,64 ,36 ,26 ,0 ,1 ,6 ,3 
05770032," Porta Westfalica, Stadt",977 ,12 ,106 ,318 ,204 ,58 ,1 ,6 ,11 ,6 ,449 ,4 ,61 ,192 ,145 ,13 ,0 ,1 ,3 ,1 ,528 ,9 ,45 ,126 ,58 ,44 ,1 ,5 ,8 ,4 
05770036," Preußisch Oldendorf, Stadt",268 ,4 ,30 ,98 ,60 ,18 ,0 ,1 ,4 ,1 ,153 ,2 ,24 ,59 ,39 ,7 ,0 ,1 ,2 ,1 ,114 ,2 ,5 ,39 ,22 ,11 ,0 ,0 ,2 ,0 
05770040," Rahden, Stadt",353 ,4 ,40 ,113 ,74 ,20 ,0 ,3 ,3 ,3 ,196 ,3 ,30 ,75 ,52 ,9 ,0 ,2 ,2 ,2 ,158 ,1 ,9 ,38 ,22 ,12 ,0 ,1 ,1 ,1 
05770044, Stemwede,255 ,4 ,36 ,109 ,66 ,20 ,1 ,3 ,5 ,4 ,134 ,2 ,24 ,58 ,38 ,6 ,0 ,1 ,2 ,1 ,121 ,2 ,12 ,52 ,28 ,14 ,1 ,1 ,4 ,3 
05774, Paderborn,"10,087 ",175 ,"1,125 ","3,123 ","1,818 ","1,423 ",26 ,130 ,319 ,174 ,"3,278 ",54 ,504 ,"1,086 ",737 ,261 ,3 ,36 ,54 ,38 ,"6,809 ",121 ,622 ,"2,036 ","1,082 ","1,162 ",23 ,95 ,266 ,137 
05774004, Altenbeken,240 ,4 ,29 ,90 ,54 ,16 ,0 ,1 ,6 ,2 ,98 ,2 ,16 ,37 ,26 ,2 ,0 ,0 ,0 ,0 ,142 ,2 ,13 ,52 ,28 ,14 ,0 ,1 ,6 ,2 
05774008," Bad Lippspringe, Stadt",739 ,11 ,72 ,229 ,132 ,158 ,4 ,17 ,32 ,17 ,183 ,3 ,28 ,58 ,35 ,25 ,1 ,4 ,6 ,3 ,556 ,8 ,44 ,171 ,97 ,133 ,3 ,13 ,26 ,14 
05774012, Borchen,278 ,3 ,34 ,92 ,55 ,24 ,0 ,2 ,8 ,4 ,128 ,1 ,19 ,41 ,27 ,6 ,0 ,0 ,1 ,0 ,150 ,2 ,14 ,50 ,28 ,18 ,0 ,1 ,7 ,3 
05774016," Büren, Stadt",662 ,10 ,69 ,232 ,130 ,56 ,1 ,5 ,14 ,7 ,242 ,4 ,42 ,89 ,61 ,13 ,0 ,1 ,3 ,1 ,420 ,5 ,27 ,143 ,69 ,43 ,1 ,4 ,11 ,5 
05774020," Delbrück, Stadt",707 ,17 ,86 ,240 ,154 ,91 ,3 ,12 ,26 ,17 ,303 ,8 ,48 ,109 ,72 ,19 ,0 ,4 ,4 ,4 ,403 ,10 ,37 ,132 ,82 ,72 ,3 ,8 ,22 ,13 
05774024," Hövelhof, Sennegemeinde",350 ,9 ,49 ,116 ,72 ,31 ,0 ,3 ,5 ,3 ,166 ,5 ,28 ,57 ,38 ,10 ,0 ,1 ,2 ,1 ,184 ,4 ,21 ,58 ,33 ,21 ,0 ,2 ,3 ,2 
05774028," Lichtenau, Stadt",226 ,6 ,30 ,85 ,53 ,10 ,0 ,2 ,2 ,1 ,124 ,3 ,18 ,58 ,42 ,3 ,0 ,0 ,1 ,1 ,103 ,2 ,13 ,27 ,11 ,7 ,0 ,1 ,1 ,0 
05774032," Paderborn, Stadt","6,049 ",102 ,660 ,"1,741 ",981 ,973 ,17 ,83 ,212 ,116 ,"1,667 ",23 ,251 ,501 ,339 ,166 ,2 ,23 ,34 ,24 ,"4,382 ",79 ,410 ,"1,241 ",642 ,807 ,16 ,60 ,178 ,92 
05774036," Salzkotten, Stadt",580 ,12 ,68 ,196 ,121 ,47 ,0 ,5 ,10 ,4 ,248 ,4 ,36 ,84 ,60 ,12 ,0 ,2 ,2 ,1 ,332 ,8 ,32 ,112 ,61 ,35 ,0 ,3 ,8 ,3 
05774040," Bad Wünnenberg, Stadt",256 ,2 ,28 ,102 ,68 ,18 ,0 ,2 ,4 ,3 ,120 ,1 ,17 ,51 ,36 ,5 ,0 ,0 ,1 ,1 ,137 ,1 ,11 ,51 ,31 ,13 ,0 ,1 ,3 ,2 
059, Reg.-Bez. Arnsberg,"166,365 ","2,490 ","15,853 ","49,843 ","28,980 ","35,263 ",516 ,"2,909 ","7,078 ","3,617 ","43,316 ",485 ,"6,097 ","16,024 ","11,347 ","5,568 ",59 ,853 ,"1,152 ",740 ,"123,049 ","2,005 ","9,756 ","33,819 ","17,633 ","29,695 ",457 ,"2,056 ","5,926 ","2,877 "
05911000," Bochum, Stadt","19,112 ",255 ,"1,696 ","5,539 ","3,170 ","3,779 ",45 ,286 ,705 ,324 ,"4,408 ",36 ,492 ,"1,764 ","1,318 ",447 ,3 ,54 ,74 ,47 ,"14,704 ",219 ,"1,204 ","3,775 ","1,853 ","3,332 ",42 ,232 ,631 ,277 
05913000," Dortmund, Stadt","38,511 ",660 ,"3,659 ","10,846 ","6,102 ","10,109 ",173 ,843 ,"2,021 ","1,023 ","7,356 ",82 ,957 ,"2,643 ","1,884 ","1,206 ",12 ,161 ,231 ,140 ,"31,155 ",578 ,"2,702 ","8,203 ","4,217 ","8,903 ",161 ,682 ,"1,789 ",884 
05914000," Hagen, St. der FernUniversität","10,154 ",180 ,"1,104 ","2,751 ","1,495 ","2,864 ",44 ,258 ,569 ,274 ,"2,329 ",41 ,390 ,849 ,594 ,420 ,6 ,76 ,94 ,59 ,"7,825 ",139 ,714 ,"1,902 ",900 ,"2,444 ",39 ,182 ,475 ,216 
05915000," Hamm, Stadt","9,416 ",155 ,891 ,"3,031 ","1,859 ","2,197 ",34 ,181 ,438 ,239 ,"1,936 ",19 ,327 ,612 ,423 ,306 ,2 ,55 ,52 ,30 ,"7,480 ",136 ,564 ,"2,419 ","1,436 ","1,891 ",32 ,126 ,386 ,209 
05916000," Herne, Stadt","10,510 ",160 ,974 ,"2,868 ","1,583 ","2,581 ",37 ,209 ,408 ,190 ,"2,071 ",20 ,285 ,752 ,537 ,317 ,4 ,53 ,54 ,38 ,"8,439 ",140 ,690 ,"2,116 ","1,046 ","2,264 ",34 ,156 ,354 ,153 
05954, Ennepe-Ruhr-Kreis,"12,779 ",133 ,976 ,"4,210 ","2,473 ","2,190 ",20 ,143 ,481 ,256 ,"4,131 ",37 ,536 ,"1,611 ","1,144 ",450 ,4 ,70 ,98 ,68 ,"8,648 ",96 ,440 ,"2,599 ","1,329 ","1,740 ",16 ,72 ,382 ,188 
05954004," Breckerfeld, Hansestadt",192 ,2 ,16 ,77 ,46 ,15 ,0 ,1 ,4 ,4 ,96 ,1 ,12 ,42 ,30 ,5 ,0 ,1 ,2 ,2 ,96 ,1 ,3 ,35 ,17 ,10 ,0 ,0 ,2 ,2 
05954008," Ennepetal, St. d. Kluterthöhle","1,070 ",17 ,120 ,323 ,196 ,187 ,1 ,18 ,38 ,25 ,401 ,3 ,66 ,149 ,106 ,57 ,0 ,9 ,16 ,13 ,670 ,14 ,55 ,174 ,90 ,130 ,1 ,9 ,22 ,11 
05954012," Gevelsberg, Stadt","1,222 ",7 ,86 ,373 ,207 ,271 ,2 ,20 ,64 ,26 ,398 ,3 ,57 ,149 ,109 ,54 ,1 ,12 ,14 ,8 ,823 ,4 ,29 ,224 ,98 ,217 ,1 ,7 ,50 ,18 
05954016," Hattingen, Stadt","2,319 ",34 ,203 ,805 ,482 ,380 ,5 ,27 ,86 ,43 ,706 ,7 ,74 ,306 ,222 ,61 ,0 ,7 ,16 ,11 ,"1,614 ",28 ,128 ,499 ,260 ,320 ,4 ,20 ,71 ,32 
05954020," Herdecke, Stadt",675 ,4 ,39 ,256 ,157 ,86 ,0 ,3 ,22 ,11 ,267 ,1 ,27 ,123 ,86 ,18 ,0 ,2 ,4 ,2 ,408 ,2 ,12 ,133 ,71 ,68 ,0 ,1 ,18 ,8 
05954024," Schwelm, Stadt","1,256 ",15 ,104 ,395 ,235 ,269 ,2 ,20 ,57 ,30 ,359 ,5 ,60 ,138 ,97 ,54 ,1 ,12 ,11 ,7 ,897 ,9 ,44 ,257 ,139 ,215 ,2 ,8 ,45 ,23 
05954028," Sprockhövel, Stadt",586 ,2 ,38 ,251 ,154 ,54 ,0 ,2 ,17 ,11 ,281 ,2 ,33 ,129 ,89 ,15 ,0 ,1 ,6 ,4 ,306 ,0 ,5 ,122 ,66 ,38 ,0 ,0 ,11 ,7 
05954032," Wetter (Ruhr), Stadt",803 ,6 ,58 ,295 ,184 ,125 ,0 ,8 ,28 ,14 ,368 ,4 ,45 ,145 ,104 ,42 ,0 ,6 ,8 ,6 ,435 ,2 ,13 ,150 ,80 ,83 ,0 ,2 ,20 ,8 
05954036," Witten, Stadt","4,656 ",46 ,312 ,"1,436 ",811 ,803 ,8 ,44 ,165 ,92 ,"1,255 ",11 ,162 ,430 ,302 ,144 ,2 ,20 ,23 ,14 ,"3,401 ",35 ,150 ,"1,005 ",509 ,659 ,7 ,25 ,142 ,78 
05958, Hochsauerlandkreis,"7,497 ",94 ,753 ,"2,467 ","1,475 ","1,037 ",10 ,84 ,282 ,150 ,"3,068 ",31 ,425 ,"1,180 ",834 ,293 ,2 ,37 ,82 ,57 ,"4,429 ",63 ,327 ,"1,287 ",640 ,744 ,8 ,47 ,200 ,93 
05958004," Arnsberg, Stadt","3,175 ",32 ,260 ,980 ,521 ,550 ,6 ,41 ,147 ,68 ,922 ,8 ,120 ,360 ,254 ,92 ,1 ,13 ,20 ,13 ,"2,253 ",24 ,141 ,620 ,266 ,458 ,6 ,28 ,128 ,55 
05958008, Bestwig,217 ,2 ,30 ,65 ,39 ,43 ,0 ,5 ,12 ,6 ,128 ,1 ,21 ,41 ,32 ,21 ,0 ,2 ,5 ,3 ,89 ,1 ,9 ,24 ,7 ,21 ,0 ,2 ,7 ,3 
05958012," Brilon, Stadt",487 ,6 ,54 ,158 ,87 ,35 ,1 ,4 ,7 ,3 ,238 ,1 ,31 ,91 ,54 ,14 ,0 ,2 ,4 ,2 ,249 ,4 ,24 ,68 ,32 ,21 ,1 ,2 ,3 ,1 
05958016, Eslohe (Sauerland),188 ,4 ,23 ,70 ,50 ,18 ,0 ,3 ,6 ,4 ,94 ,3 ,16 ,36 ,26 ,6 ,0 ,2 ,2 ,1 ,94 ,1 ,7 ,34 ,24 ,12 ,0 ,2 ,5 ,3 
05958020," Hallenberg, Stadt",74 ,2 ,10 ,27 ,21 ,1 ,0 ,0 ,0 ,0 ,45 ,1 ,7 ,20 ,15 ,1 ,0 ,0 ,0 ,0 ,28 ,1 ,3 ,7 ,5 ,1 ,0 ,0 ,0 ,0 
05958024," Marsberg, Stadt",499 ,8 ,54 ,205 ,135 ,39 ,0 ,3 ,9 ,7 ,212 ,3 ,32 ,87 ,67 ,12 ,0 ,1 ,2 ,2 ,287 ,5 ,22 ,118 ,68 ,26 ,0 ,2 ,7 ,5 
05958028," Medebach, Hansestadt",152 ,2 ,14 ,59 ,35 ,18 ,0 ,1 ,4 ,1 ,75 ,0 ,9 ,31 ,22 ,5 ,0 ,0 ,0 ,0 ,77 ,2 ,6 ,28 ,14 ,13 ,0 ,0 ,4 ,1 
05958032," Meschede, Krs.-/Hochschulstadt",787 ,8 ,77 ,274 ,176 ,118 ,1 ,8 ,32 ,17 ,407 ,4 ,56 ,158 ,118 ,45 ,0 ,6 ,18 ,12 ,381 ,4 ,22 ,115 ,58 ,72 ,0 ,2 ,15 ,5 
05958036," Olsberg, Stadt",320 ,8 ,50 ,108 ,76 ,34 ,0 ,5 ,9 ,8 ,129 ,0 ,22 ,44 ,33 ,13 ,0 ,2 ,4 ,4 ,191 ,8 ,28 ,64 ,43 ,21 ,0 ,3 ,5 ,4 
05958040," Schmallenberg, Stadt",537 ,9 ,64 ,186 ,121 ,54 ,1 ,4 ,18 ,12 ,310 ,3 ,40 ,133 ,94 ,24 ,0 ,3 ,9 ,6 ,227 ,5 ,24 ,52 ,27 ,31 ,0 ,1 ,8 ,6 
05958044," Sundern (Sauerland), Stadt",784 ,9 ,79 ,242 ,154 ,115 ,1 ,9 ,31 ,21 ,375 ,5 ,52 ,139 ,94 ,54 ,0 ,5 ,17 ,12 ,408 ,4 ,27 ,104 ,60 ,61 ,1 ,4 ,14 ,9 
05958048," Winterberg, Stadt",276 ,5 ,37 ,93 ,61 ,12 ,0 ,1 ,6 ,3 ,131 ,1 ,21 ,39 ,26 ,6 ,0 ,0 ,2 ,2 ,145 ,4 ,16 ,54 ,35 ,6 ,0 ,0 ,4 ,2 
05962, Märkischer Kreis,"15,864 ",219 ,"1,604 ","4,968 ","2,943 ","3,389 ",44 ,305 ,774 ,424 ,"5,031 ",55 ,782 ,"1,829 ","1,280 ",805 ,9 ,140 ,189 ,125 ,"10,833 ",164 ,823 ,"3,140 ","1,663 ","2,584 ",36 ,165 ,584 ,299 
05962004," Altena, Stadt",684 ,13 ,67 ,222 ,134 ,94 ,1 ,5 ,28 ,18 ,203 ,2 ,25 ,85 ,58 ,20 ,0 ,1 ,7 ,5 ,481 ,10 ,42 ,137 ,76 ,74 ,1 ,4 ,21 ,12 
05962008," Balve, Stadt",309 ,4 ,33 ,119 ,78 ,36 ,0 ,3 ,7 ,2 ,142 ,2 ,22 ,70 ,57 ,8 ,0 ,2 ,1 ,1 ,167 ,3 ,12 ,48 ,21 ,28 ,0 ,1 ,6 ,2 
05962012," Halver, Stadt",486 ,7 ,47 ,172 ,107 ,93 ,2 ,9 ,18 ,12 ,189 ,4 ,31 ,75 ,52 ,27 ,0 ,5 ,6 ,4 ,297 ,4 ,16 ,96 ,55 ,66 ,2 ,4 ,12 ,7 
05962016," Hemer, Stadt","1,350 ",20 ,139 ,392 ,206 ,251 ,4 ,23 ,53 ,23 ,377 ,4 ,56 ,132 ,89 ,51 ,0 ,7 ,12 ,7 ,973 ,16 ,83 ,260 ,118 ,200 ,3 ,16 ,41 ,16 
05962020, Herscheid,154 ,2 ,16 ,48 ,28 ,24 ,0 ,2 ,3 ,2 ,65 ,1 ,10 ,22 ,12 ,5 ,0 ,1 ,0 ,0 ,88 ,1 ,6 ,26 ,15 ,19 ,0 ,2 ,3 ,1 
05962024," Iserlohn, Stadt","4,070 ",50 ,370 ,"1,256 ",735 ,809 ,10 ,62 ,189 ,99 ,"1,089 ",11 ,154 ,391 ,272 ,152 ,2 ,24 ,41 ,28 ,"2,981 ",38 ,215 ,865 ,463 ,656 ,7 ,38 ,148 ,71 
05962028," Kierspe, Stadt",554 ,9 ,60 ,178 ,105 ,88 ,1 ,6 ,22 ,11 ,170 ,2 ,33 ,63 ,46 ,19 ,0 ,3 ,7 ,4 ,385 ,6 ,26 ,116 ,58 ,69 ,1 ,4 ,15 ,6 
05962032," Lüdenscheid, Stadt","3,227 ",50 ,332 ,895 ,509 ,809 ,10 ,67 ,169 ,90 ,963 ,11 ,154 ,309 ,212 ,211 ,2 ,32 ,47 ,31 ,"2,264 ",39 ,178 ,585 ,298 ,597 ,8 ,34 ,122 ,59 
05962036," Meinerzhagen, Stadt",652 ,10 ,76 ,228 ,143 ,117 ,2 ,14 ,30 ,21 ,217 ,4 ,51 ,69 ,46 ,30 ,0 ,9 ,5 ,4 ,435 ,7 ,25 ,159 ,97 ,88 ,2 ,5 ,25 ,17 
05962040," Menden (Sauerland), Stadt","1,836 ",16 ,158 ,631 ,393 ,359 ,3 ,21 ,100 ,60 ,629 ,5 ,93 ,237 ,165 ,71 ,0 ,10 ,18 ,11 ,"1,207 ",11 ,66 ,394 ,228 ,287 ,3 ,11 ,82 ,50 
05962044, Nachrodt-Wiblingwerde,189 ,2 ,18 ,70 ,40 ,29 ,1 ,2 ,6 ,4 ,80 ,1 ,10 ,34 ,24 ,9 ,1 ,2 ,2 ,2 ,110 ,1 ,8 ,36 ,16 ,20 ,0 ,0 ,4 ,2 
05962048," Neuenrade, Stadt",364 ,6 ,45 ,108 ,65 ,106 ,2 ,15 ,22 ,12 ,146 ,3 ,25 ,49 ,35 ,28 ,0 ,7 ,5 ,3 ,218 ,3 ,20 ,59 ,30 ,79 ,1 ,8 ,17 ,9 
05962052," Plettenberg, Stadt",842 ,11 ,105 ,264 ,162 ,209 ,3 ,29 ,45 ,25 ,363 ,4 ,57 ,127 ,88 ,84 ,2 ,19 ,15 ,11 ,479 ,7 ,48 ,137 ,74 ,126 ,2 ,10 ,30 ,14 
05962056, Schalksmühle,272 ,6 ,35 ,110 ,66 ,43 ,1 ,8 ,13 ,8 ,132 ,1 ,21 ,56 ,37 ,17 ,0 ,4 ,5 ,2 ,140 ,5 ,15 ,54 ,29 ,26 ,1 ,4 ,8 ,6 
05962060," Werdohl, Stadt",874 ,13 ,104 ,276 ,173 ,322 ,5 ,37 ,67 ,38 ,266 ,1 ,40 ,109 ,87 ,73 ,0 ,13 ,17 ,14 ,608 ,12 ,64 ,167 ,86 ,250 ,4 ,24 ,50 ,25 
05966, Olpe,"3,653 ",53 ,405 ,"1,064 ",595 ,704 ,11 ,69 ,137 ,66 ,"1,482 ",22 ,234 ,503 ,327 ,182 ,3 ,27 ,39 ,24 ,"2,171 ",31 ,172 ,561 ,268 ,522 ,7 ,42 ,98 ,42 
05966004," Attendorn, Hansestadt",768 ,8 ,71 ,214 ,118 ,192 ,3 ,15 ,44 ,16 ,276 ,3 ,41 ,86 ,53 ,50 ,1 ,7 ,12 ,6 ,492 ,5 ,29 ,128 ,66 ,142 ,2 ,8 ,32 ,10 
05966008," Drolshagen, Stadt",239 ,3 ,26 ,78 ,43 ,29 ,0 ,2 ,3 ,2 ,119 ,1 ,18 ,44 ,30 ,9 ,0 ,2 ,2 ,1 ,120 ,2 ,8 ,34 ,13 ,19 ,0 ,0 ,1 ,0 
05966012, Finnentrop,482 ,7 ,46 ,144 ,84 ,86 ,1 ,7 ,20 ,12 ,197 ,3 ,28 ,67 ,42 ,24 ,0 ,3 ,8 ,4 ,285 ,4 ,19 ,76 ,42 ,62 ,1 ,4 ,12 ,8 
05966016, Kirchhundem,283 ,3 ,33 ,98 ,55 ,30 ,0 ,4 ,6 ,4 ,132 ,1 ,18 ,58 ,37 ,13 ,0 ,1 ,3 ,3 ,151 ,2 ,15 ,40 ,18 ,17 ,0 ,2 ,3 ,1 
05966020," Lennestadt, Stadt",817 ,19 ,100 ,241 ,132 ,163 ,4 ,23 ,22 ,8 ,257 ,6 ,40 ,92 ,59 ,32 ,0 ,6 ,6 ,4 ,560 ,13 ,60 ,150 ,73 ,132 ,4 ,17 ,17 ,4 
05966024," Olpe, Stadt",678 ,8 ,79 ,178 ,93 ,150 ,2 ,13 ,31 ,18 ,290 ,5 ,51 ,89 ,57 ,41 ,1 ,6 ,7 ,4 ,387 ,3 ,28 ,89 ,36 ,109 ,1 ,7 ,24 ,14 
05966028, Wenden,386 ,6 ,50 ,110 ,70 ,54 ,0 ,5 ,12 ,7 ,210 ,4 ,37 ,66 ,49 ,14 ,0 ,2 ,2 ,1 ,176 ,2 ,13 ,44 ,21 ,40 ,0 ,3 ,10 ,5 
05970, Siegen-Wittgenstein,"8,678 ",184 ,"1,095 ","2,754 ","1,720 ","1,458 ",33 ,162 ,310 ,167 ,"3,026 ",60 ,526 ,"1,100 ",785 ,326 ,6 ,56 ,71 ,46 ,"5,653 ",124 ,570 ,"1,653 ",936 ,"1,132 ",27 ,106 ,238 ,121 
