,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
01051011," Brunsbüttel, Stadt",542 ,15 ,66 ,138 ,75 ,32 ,0 ,1 ,6 ,2 ,114 ,3 ,23 ,43 ,30 ,2 ,0 ,0 ,0 ,0 ,428 ,12 ,43 ,95 ,45 ,30 ,0 ,1 ,6 ,2 
01051012, Buchholz,22 ,1 ,5 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,3 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051013, Büsum,185 ,2 ,13 ,78 ,46 ,9 ,0 ,0 ,3 ,2 ,85 ,0 ,7 ,41 ,28 ,5 ,0 ,0 ,2 ,1 ,100 ,2 ,6 ,37 ,18 ,4 ,0 ,0 ,1 ,1 
01051014, Büsumer Deichhausen,11 ,0 ,0 ,5 ,2 ,1 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 
01051015, Bunsoh,24 ,0 ,3 ,8 ,6 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051016, Burg (Dithmarschen),202 ,6 ,24 ,55 ,33 ,7 ,0 ,0 ,1 ,0 ,42 ,2 ,8 ,16 ,13 ,1 ,0 ,0 ,0 ,0 ,160 ,4 ,17 ,38 ,20 ,6 ,0 ,0 ,1 ,0 
01051017, Busenwurth,9 ,0 ,1 ,4 ,3 ,2 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,1 ,1 ,0 ,0 ,0 ,0 
01051019, Dellstedt,25 ,1 ,5 ,6 ,5 ,1 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,3 ,3 ,2 ,1 ,0 ,0 ,0 ,0 
01051020, Delve,20 ,1 ,3 ,8 ,5 ,1 ,0 ,0 ,1 ,0 ,12 ,0 ,1 ,6 ,4 ,1 ,0 ,0 ,1 ,0 ,8 ,1 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051021, Diekhusen-Fahrstedt,18 ,0 ,3 ,7 ,4 ,2 ,0 ,1 ,0 ,0 ,7 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,3 ,1 ,2 ,0 ,1 ,0 ,0 
