,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden     Jahreszahlen 2015
Bestand an Arbeitslosen nach Rechtskreisen - Insgesamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder, Regierungsbezirke, Kreise und Gemeinden in Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahreszahlen/-durchschnitte 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Rechtskreise SGB III und SGB II,,,,,,,,,, Rechtskreis SGB III,,,,,,,,,, Rechtskreis SGB II,,,,,,,,,
,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter 20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter 20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter 20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
01051017,Busenwurth,10 ,0 ,1 ,4 ,2 ,4 ,,,1 ,,2 ,0 ,0 ,2 ,1 ,,,,,,7 ,,1 ,3 ,1 ,4 ,,,1 ,
01051019,Dellstedt,20 ,1 ,2 ,7 ,4 ,1 ,,0 ,0 ,,6 ,0 ,1 ,3 ,2 ,,,,,,14 ,0 ,2 ,3 ,3 ,1 ,,0 ,0 ,
01051020,Delve,19 ,0 ,1 ,10 ,6 ,2 ,,,2 ,1 ,12 ,0 ,0 ,7 ,5 ,2 ,,,2 ,1 ,7 ,,0 ,4 ,1 ,0 ,,,,
01051021,Diekhusen-Fahrstedt,14 ,,1 ,6 ,4 ,0 ,,,,,6 ,,1 ,4 ,3 ,0 ,,,,,8 ,,0 ,2 ,1 ,,,,,
01051022,Dingen,16 ,1 ,1 ,5 ,4 ,1 ,,,,,7 ,,0 ,4 ,3 ,,,,,,9 ,1 ,1 ,0 ,0 ,1 ,,,,
01051023,Dörpling,16 ,0 ,1 ,4 ,2 ,1 ,,,,,8 ,0 ,1 ,2 ,1 ,,,,,,9 ,0 ,0 ,2 ,1 ,1 ,,,,
01051024,Eddelak,36 ,,4 ,8 ,4 ,2 ,,0 ,,,8 ,,1 ,4 ,3 ,,,,,,27 ,,2 ,4 ,1 ,2 ,,0 ,,
01051026,Eggstedt,25 ,1 ,4 ,10 ,8 ,1 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,6 ,6 ,0 ,,,0 ,0 ,11 ,1 ,2 ,3 ,2 ,1 ,0 ,0 ,,
01051027,Elpersbüttel,23 ,0 ,4 ,8 ,5 ,1 ,,0 ,,,10 ,,3 ,4 ,3 ,1 ,,,,,12 ,0 ,1 ,3 ,2 ,0 ,,0 ,,
01051028,Epenwöhrden,20 ,1 ,3 ,5 ,3 ,2 ,,,,,7 ,1 ,2 ,2 ,1 ,,,,,,13 ,0 ,1 ,3 ,2 ,2 ,,,,
01051030,Fedderingen,5 ,,0 ,2 ,0 ,,,,,,2 ,,0 ,1 ,0 ,,,,,,4 ,,0 ,2 ,,,,,,
01051032,Frestedt,7 ,0 ,1 ,1 ,0 ,,,,,,2 ,,0 ,1 ,,,,,,,4 ,0 ,0 ,1 ,0 ,,,,,
01051033,Friedrichsgabekoog,2 ,,,1 ,1 ,,,,,,2 ,,,1 ,1 ,,,,,,,,,,,,,,,
01051034,Friedrichskoog,69 ,2 ,8 ,27 ,18 ,4 ,,1 ,1 ,1 ,28 ,1 ,3 ,15 ,11 ,1 ,,0 ,1 ,1 ,40 ,1 ,5 ,12 ,7 ,3 ,,1 ,,
01051035,Gaushorn,7 ,0 ,0 ,3 ,2 ,0 ,,,0 ,0 ,2 ,,0 ,2 ,1 ,,,,,,5 ,0 ,0 ,2 ,1 ,0 ,,,0 ,0 
01051036,Glüsing,5 ,1 ,1 ,1 ,0 ,,,,,,1 ,,0 ,,,,,,,,4 ,1 ,1 ,1 ,0 ,,,,,
01051037,Großenrade,18 ,1 ,2 ,8 ,4 ,0 ,,,0 ,,8 ,0 ,1 ,4 ,3 ,,,,,,10 ,1 ,1 ,4 ,1 ,0 ,,,0 ,
01051038,Groven,1 ,,,,,,,,,,1 ,,,,,,,,,,0 ,,,,,,,,,
01051039,Gudendorf,12 ,,3 ,3 ,1 ,1 ,,,,,4 ,,2 ,1 ,1 ,1 ,,,,,7 ,,2 ,2 ,0 ,0 ,,,,
01051043,Hedwigenkoog,5 ,0 ,2 ,0 ,0 ,,,,,,2 ,0 ,1 ,0 ,0 ,,,,,,3 ,,1 ,,,,,,,
01051044,"Heide, Stadt","1,168 ",47 ,183 ,276 ,151 ,169 ,7 ,18 ,22 ,14 ,222 ,4 ,33 ,86 ,61 ,18 ,,2 ,4 ,2 ,946 ,43 ,150 ,190 ,90 ,150 ,7 ,16 ,18 ,12 
01051045,Hellschen-Heringsand-Untersch.,4 ,1 ,1 ,2 ,2 ,0 ,,,,,1 ,,,1 ,,,,,,,3 ,1 ,1 ,2 ,2 ,0 ,,,,
01051046,Helse,16 ,0 ,2 ,8 ,6 ,0 ,,,0 ,,9 ,0 ,1 ,5 ,4 ,0 ,,,0 ,,7 ,,1 ,3 ,2 ,0 ,,,,
01051047,Hemme,19 ,,1 ,8 ,5 ,2 ,,,,,5 ,,1 ,3 ,2 ,,,,,,14 ,,0 ,6 ,3 ,2 ,,,,
01051048,Hemmingstedt,95 ,3 ,10 ,34 ,22 ,10 ,1 ,2 ,2 ,1 ,41 ,2 ,6 ,16 ,12 ,7 ,1 ,2 ,1 ,1 ,54 ,1 ,4 ,18 ,10 ,4 ,,0 ,1 ,1 
01051049,Hennstedt,64 ,2 ,5 ,20 ,10 ,4 ,,,,,20 ,0 ,2 ,10 ,6 ,,,,,,44 ,2 ,4 ,10 ,4 ,4 ,,,,
01051051,Hochdonn,42 ,2 ,7 ,11 ,6 ,2 ,,,0 ,,12 ,1 ,3 ,5 ,3 ,,,,,,30 ,1 ,4 ,6 ,2 ,2 ,,,0 ,
01051052,Hövede,2 ,,0 ,,,,,,,,0 ,,,,,,,,,,2 ,,0 ,,,,,,,
