,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden     Jahreszahlen 2012
Bestand an Arbeitslosen nach Rechtskreisen - Insgesamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder, Regierungsbezirke, Kreise und Gemeinden in Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahreszahlen 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Rechtskreise SGB III und SGB II,,,,,,,,,, Rechtskreis SGB III,,,,,,,,,, Rechtskreis SGB II,,,,,,,,,
,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
, Deutschland,"2,896,985 ","46,693 ","274,035 ","918,193 ","544,484 ","474,283 ","7,661 ","35,831 ","105,017 ","57,238 ","902,174 ","13,374 ","118,387 ","351,243 ","249,999 ","93,962 ","1,197 ","11,268 ","22,783 ","15,444 ","1,994,811 ","33,319 ","155,648 ","566,950 ","294,485 ","380,321 ","6,464 ","24,563 ","82,235 ","41,793 "
01, Schleswig-Holstein,"100,048 ","2,188 ","10,752 ","29,854 ","17,374 ","10,751 ",200 ,763 ,"2,253 ","1,175 ","32,313 ",677 ,"4,746 ","12,008 ","8,340 ","1,790 ",26 ,185 ,470 ,317 ,"67,735 ","1,510 ","6,006 ","17,846 ","9,034 ","8,961 ",173 ,578 ,"1,783 ",858 
01001000," Flensburg, Stadt","5,127 ",122 ,640 ,"1,293 ",691 ,506 ,8 ,34 ,122 ,70 ,"1,373 ",26 ,198 ,460 ,308 ,109 ,2 ,10 ,44 ,33 ,"3,754 ",96 ,442 ,833 ,383 ,396 ,6 ,25 ,78 ,36 
01002000," Kiel, Landeshauptstadt","12,732 ",232 ,"1,118 ","3,316 ","1,761 ","2,037 ",36 ,130 ,375 ,177 ,"2,704 ",67 ,460 ,746 ,520 ,228 ,3 ,28 ,38 ,24 ,"10,028 ",164 ,658 ,"2,570 ","1,242 ","1,809 ",33 ,102 ,337 ,154 
01003000," Lübeck, Hansestadt","11,009 ",227 ,"1,152 ","2,991 ","1,566 ","1,624 ",32 ,120 ,344 ,160 ,"2,120 ",28 ,291 ,705 ,496 ,144 ,1 ,13 ,29 ,20 ,"8,889 ",199 ,861 ,"2,285 ","1,070 ","1,480 ",32 ,107 ,315 ,140 
01004000," Neumünster, Stadt","4,376 ",121 ,561 ,"1,109 ",597 ,616 ,8 ,40 ,115 ,58 ,968 ,25 ,186 ,330 ,229 ,65 ,1 ,6 ,21 ,16 ,"3,408 ",96 ,376 ,779 ,368 ,551 ,7 ,34 ,94 ,42 
01051, Dithmarschen,"5,217 ",172 ,710 ,"1,438 ",807 ,283 ,7 ,25 ,54 ,27 ,"1,533 ",37 ,226 ,621 ,428 ,52 ,0 ,4 ,15 ,10 ,"3,684 ",135 ,484 ,817 ,380 ,231 ,7 ,21 ,39 ,18 
01051001, Albersdorf,163 ,10 ,28 ,38 ,19 ,6 ,1 ,1 ,0 ,0 ,28 ,0 ,4 ,13 ,6 ,0 ,0 ,0 ,0 ,0 ,135 ,9 ,24 ,25 ,12 ,6 ,1 ,1 ,0 ,0 
01051002, Arkebek,15 ,1 ,2 ,6 ,3 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,1 ,1 ,6 ,2 ,1 ,0 ,0 ,0 ,0 
01051003, Averlak,18 ,1 ,4 ,5 ,1 ,1 ,0 ,0 ,0 ,0 ,9 ,1 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,9 ,1 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 
01051004, Bargenstedt,26 ,1 ,3 ,11 ,5 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,18 ,1 ,2 ,7 ,3 ,0 ,0 ,0 ,0 ,0 
01051005, Barkenholm,5 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
