,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden     Jahreszahlen 2014
Bestand an Arbeitslosen nach Rechtskreisen - Insgesamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder, Regierungsbezirke, Kreise und Gemeinden in Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahreszahlen 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Rechtskreise SGB III und SGB II,,,,,,,,,, Rechtskreis SGB III,,,,,,,,,, Rechtskreis SGB II,,,,,,,,,
,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
, Deutschland,"2,898,388 ","45,715 ","258,301 ","954,483 ","580,314 ","529,511 ","8,336 ","41,191 ","118,829 ","63,539 ","933,224 ","13,113 ","110,449 ","368,126 ","263,286 ","111,592 ","1,210 ","12,528 ","25,097 ","15,752 ","1,965,164 ","32,602 ","147,852 ","586,357 ","317,028 ","417,919 ","7,126 ","28,663 ","93,732 ","47,788 "
01, Schleswig-Holstein,"100,957 ","2,075 ","10,632 ","31,718 ","18,880 ","12,031 ",184 ,873 ,"2,582 ","1,325 ","32,189 ",625 ,"4,520 ","12,044 ","8,336 ","2,099 ",19 ,196 ,509 ,312 ,"68,768 ","1,450 ","6,112 ","19,674 ","10,544 ","9,932 ",165 ,677 ,"2,072 ","1,013 "
01001000," Flensburg, Stadt","5,087 ",134 ,671 ,"1,333 ",728 ,530 ,4 ,35 ,109 ,60 ,"1,255 ",29 ,204 ,392 ,258 ,121 ,1 ,11 ,29 ,19 ,"3,832 ",105 ,467 ,941 ,470 ,409 ,2 ,24 ,80 ,40 
01002000," Kiel, Landeshauptstadt","13,109 ",227 ,"1,212 ","3,559 ","1,954 ","2,324 ",35 ,160 ,437 ,198 ,"2,649 ",42 ,391 ,701 ,469 ,267 ,1 ,18 ,49 ,29 ,"10,460 ",185 ,821 ,"2,857 ","1,485 ","2,057 ",34 ,142 ,388 ,170 
01003000," Lübeck, Hansestadt","10,992 ",192 ,"1,070 ","3,053 ","1,609 ","1,717 ",24 ,120 ,358 ,164 ,"2,374 ",33 ,322 ,773 ,512 ,203 ,1 ,19 ,45 ,22 ,"8,618 ",159 ,748 ,"2,280 ","1,097 ","1,514 ",24 ,101 ,313 ,142 
01004000," Neumünster, Stadt","4,430 ",97 ,513 ,"1,247 ",692 ,655 ,5 ,32 ,131 ,61 ,974 ,21 ,181 ,333 ,228 ,69 ,1 ,8 ,19 ,14 ,"3,456 ",76 ,332 ,914 ,464 ,586 ,5 ,23 ,113 ,47 
01051, Dithmarschen,"4,881 ",149 ,607 ,"1,444 ",819 ,322 ,8 ,33 ,59 ,30 ,"1,472 ",38 ,206 ,610 ,427 ,55 ,0 ,6 ,15 ,8 ,"3,409 ",110 ,402 ,834 ,392 ,266 ,8 ,28 ,44 ,22 
01051001, Albersdorf,147 ,5 ,21 ,36 ,18 ,8 ,0 ,2 ,1 ,0 ,31 ,0 ,3 ,12 ,7 ,0 ,0 ,0 ,0 ,0 ,116 ,5 ,18 ,24 ,11 ,7 ,0 ,1 ,0 ,0 
01051002, Arkebek,5 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
01051003, Averlak,13 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051004, Bargenstedt,25 ,1 ,3 ,9 ,4 ,1 ,0 ,0 ,1 ,1 ,11 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,1 ,6 ,2 ,1 ,0 ,0 ,1 ,1 
01051005, Barkenholm,5 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
