,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden
Bestand an Arbeitslosen nach Rechtskreisen - Insgesamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder, Regierungsbezirke, Kreise und Gemeinden in Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahresdurchschnitt 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Rechtskreise SGB III und SGB II,,,,,,,,,, Rechtskreis SGB III,,,,,,,,,, Rechtskreis SGB II,,,,,,,,,
,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
, Deutschland,"2,975,822 ","47,746 ","278,886 ","923,106 ","542,577 ","470,212 ","7,536 ","33,698 ","102,218 ","55,749 ","891,875 ","13,661 ","116,439 ","362,167 ","261,806 ","85,084 ","1,103 ","9,493 ","23,236 ","16,524 ","2,083,948 ","34,085 ","162,447 ","560,939 ","280,770 ","385,128 ","6,432 ","24,205 ","78,982 ","39,225 "
01, Schleswig-Holstein,"103,694 ","2,337 ","11,075 ","29,618 ","17,097 ","10,977 ",209 ,769 ,"2,198 ","1,152 ","33,176 ",693 ,"4,788 ","12,271 ","8,590 ","1,771 ",21 ,165 ,482 ,329 ,"70,518 ","1,644 ","6,287 ","17,347 ","8,508 ","9,206 ",188 ,604 ,"1,716 ",823 
01001000," Flensburg, Stadt","5,151 ",117 ,619 ,"1,232 ",665 ,523 ,8 ,35 ,118 ,69 ,"1,348 ",24 ,175 ,450 ,300 ,111 ,1 ,6 ,42 ,31 ,"3,804 ",93 ,444 ,782 ,365 ,412 ,7 ,29 ,76 ,39 
01002000," Kiel, Landeshauptstadt","13,694 ",248 ,"1,151 ","3,312 ","1,662 ","2,202 ",38 ,140 ,394 ,184 ,"2,727 ",57 ,432 ,759 ,517 ,233 ,3 ,24 ,47 ,33 ,"10,967 ",191 ,720 ,"2,553 ","1,145 ","1,969 ",35 ,116 ,347 ,151 
01003000," Lübeck, Hansestadt","11,548 ",283 ,"1,295 ","3,038 ","1,578 ","1,652 ",41 ,139 ,338 ,173 ,"2,168 ",34 ,298 ,785 ,575 ,144 ,1 ,14 ,37 ,29 ,"9,380 ",249 ,998 ,"2,253 ","1,003 ","1,508 ",40 ,126 ,301 ,144 
01004000," Neumünster, Stadt","4,454 ",126 ,547 ,"1,132 ",604 ,607 ,11 ,39 ,108 ,60 ,"1,036 ",29 ,196 ,375 ,257 ,61 ,2 ,9 ,20 ,15 ,"3,418 ",97 ,350 ,757 ,347 ,545 ,10 ,30 ,88 ,45 
01051, Dithmarschen,"5,467 ",179 ,743 ,"1,438 ",814 ,285 ,10 ,31 ,51 ,27 ,"1,606 ",36 ,237 ,623 ,440 ,51 ,1 ,4 ,13 ,10 ,"3,861 ",144 ,506 ,816 ,374 ,234 ,9 ,27 ,38 ,17 
01051001, Albersdorf,172 ,8 ,27 ,39 ,18 ,6 ,0 ,0 ,0 ,0 ,27 ,1 ,5 ,9 ,6 ,0 ,0 ,0 ,0 ,0 ,145 ,8 ,22 ,30 ,12 ,6 ,0 ,0 ,0 ,0 
01051002, Arkebek,14 ,0 ,1 ,6 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,5 ,1 ,0 ,0 ,0 ,0 ,0 
01051003, Averlak,14 ,1 ,3 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051004, Bargenstedt,28 ,1 ,2 ,14 ,7 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,8 ,4 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,0 ,0 
01051005, Barkenholm,4 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
