,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
01051011," Brunsbüttel, Stadt",687 ,24 ,94 ,164 ,86 ,38 ,1 ,5 ,6 ,4 ,161 ,6 ,28 ,65 ,46 ,3 ,0 ,0 ,0 ,0 ,527 ,18 ,66 ,100 ,40 ,36 ,1 ,5 ,6 ,4 
01051012, Buchholz,39 ,1 ,5 ,11 ,6 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,3 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,24 ,1 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 
01051013, Büsum,209 ,7 ,24 ,57 ,29 ,14 ,1 ,1 ,3 ,2 ,77 ,2 ,13 ,28 ,20 ,4 ,0 ,0 ,2 ,2 ,132 ,5 ,11 ,29 ,9 ,9 ,1 ,1 ,0 ,0 
01051014, Büsumer Deichhausen,9 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051015, Bunsoh,25 ,1 ,2 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,14 ,1 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
01051016, Burg (Dithmarschen),221 ,7 ,31 ,45 ,25 ,8 ,0 ,0 ,2 ,0 ,58 ,1 ,9 ,18 ,12 ,1 ,0 ,0 ,0 ,0 ,163 ,6 ,22 ,27 ,13 ,8 ,0 ,0 ,1 ,0 
01051017, Busenwurth,14 ,1 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051019, Dellstedt,38 ,3 ,6 ,5 ,2 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,30 ,3 ,4 ,4 ,1 ,1 ,0 ,0 ,0 ,0 
01051020, Delve,24 ,1 ,4 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051021, Diekhusen-Fahrstedt,19 ,1 ,2 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
