,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
03151013, Isenbüttel,166 ,1 ,17 ,46 ,26 ,15 ,0 ,0 ,1 ,1 ,74 ,0 ,13 ,23 ,13 ,2 ,0 ,0 ,0 ,0 ,92 ,0 ,4 ,23 ,13 ,12 ,0 ,0 ,1 ,1 
03151014, Jembke,24 ,0 ,2 ,6 ,1 ,3 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,3 ,1 ,1 ,0 ,0 ,0 ,0 
03151015, Leiferde,129 ,4 ,20 ,30 ,19 ,2 ,0 ,1 ,0 ,0 ,58 ,2 ,12 ,12 ,6 ,0 ,0 ,0 ,0 ,0 ,71 ,2 ,9 ,18 ,13 ,1 ,0 ,1 ,0 ,0 
03151016, Meine,182 ,4 ,26 ,52 ,30 ,15 ,1 ,3 ,1 ,1 ,94 ,2 ,17 ,32 ,22 ,3 ,0 ,1 ,0 ,0 ,88 ,2 ,9 ,19 ,8 ,12 ,1 ,2 ,1 ,1 
03151017, Meinersen,292 ,8 ,41 ,73 ,35 ,31 ,0 ,5 ,7 ,3 ,113 ,4 ,23 ,30 ,18 ,8 ,0 ,1 ,2 ,1 ,180 ,4 ,18 ,43 ,17 ,23 ,0 ,4 ,5 ,3 
03151018, Müden (Aller),184 ,5 ,23 ,45 ,25 ,12 ,0 ,2 ,5 ,1 ,75 ,2 ,13 ,19 ,12 ,3 ,0 ,0 ,2 ,1 ,110 ,3 ,11 ,25 ,13 ,10 ,0 ,2 ,3 ,1 
03151019, Obernholz,12 ,0 ,1 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
03151020, Osloß,42 ,3 ,9 ,9 ,4 ,6 ,1 ,1 ,3 ,1 ,17 ,1 ,6 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,25 ,2 ,3 ,6 ,2 ,6 ,1 ,1 ,3 ,1 
03151021, Parsau,51 ,2 ,10 ,10 ,3 ,1 ,0 ,1 ,0 ,0 ,22 ,0 ,5 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,29 ,1 ,4 ,5 ,1 ,1 ,0 ,1 ,0 ,0 
03151022, Ribbesbüttel,50 ,0 ,7 ,10 ,3 ,3 ,0 ,0 ,2 ,0 ,26 ,0 ,5 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,25 ,0 ,2 ,5 ,1 ,3 ,0 ,0 ,1 ,0 
03151023, Rötgesbüttel,65 ,2 ,14 ,14 ,4 ,3 ,0 ,1 ,0 ,0 ,28 ,1 ,8 ,7 ,2 ,1 ,0 ,0 ,0 ,0 ,36 ,2 ,6 ,7 ,1 ,2 ,0 ,0 ,0 ,0 
03151024, Rühen,90 ,3 ,13 ,26 ,14 ,3 ,0 ,0 ,0 ,0 ,47 ,1 ,9 ,15 ,9 ,1 ,0 ,0 ,0 ,0 ,43 ,2 ,4 ,12 ,6 ,2 ,0 ,0 ,0 ,0 
03151025, Sassenburg,313 ,10 ,52 ,65 ,33 ,36 ,0 ,3 ,3 ,1 ,137 ,5 ,31 ,40 ,19 ,5 ,0 ,0 ,1 ,0 ,175 ,5 ,22 ,25 ,14 ,31 ,0 ,3 ,2 ,1 
03151026, Schönewörde,24 ,1 ,6 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
03151027, Schwülper,135 ,1 ,9 ,46 ,26 ,9 ,0 ,0 ,2 ,1 ,71 ,1 ,8 ,27 ,16 ,1 ,0 ,0 ,0 ,0 ,64 ,0 ,2 ,19 ,10 ,8 ,0 ,0 ,2 ,1 
03151028, Sprakensehl,30 ,0 ,4 ,7 ,3 ,2 ,0 ,0 ,0 ,0 ,18 ,0 ,4 ,4 ,2 ,1 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 
03151029, Steinhorst,40 ,1 ,4 ,7 ,3 ,1 ,0 ,0 ,0 ,0 ,13 ,1 ,3 ,3 ,1 ,1 ,0 ,0 ,0 ,0 ,27 ,0 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 
03151030, Tappenbeck,16 ,0 ,4 ,5 ,3 ,1 ,0 ,0 ,1 ,0 ,11 ,0 ,3 ,4 ,2 ,1 ,0 ,0 ,1 ,0 ,5 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
03151031, Tiddische,22 ,1 ,5 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,12 ,1 ,2 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
03151032, Tülau,38 ,0 ,8 ,9 ,5 ,3 ,0 ,0 ,1 ,1 ,19 ,0 ,5 ,4 ,3 ,2 ,0 ,0 ,0 ,0 ,19 ,0 ,2 ,5 ,2 ,1 ,0 ,0 ,1 ,1 
03151033, Ummern,62 ,1 ,6 ,17 ,6 ,2 ,0 ,0 ,0 ,0 ,19 ,1 ,5 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,42 ,0 ,0 ,14 ,5 ,2 ,0 ,0 ,0 ,0 
03151034, Vordorf,69 ,2 ,11 ,14 ,9 ,2 ,0 ,0 ,1 ,1 ,35 ,1 ,9 ,7 ,5 ,1 ,0 ,0 ,1 ,1 ,35 ,1 ,2 ,7 ,4 ,2 ,0 ,0 ,0 ,0 
03151035, Wagenhoff,35 ,0 ,4 ,9 ,5 ,2 ,0 ,0 ,0 ,0 ,16 ,0 ,3 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,1 ,4 ,2 ,2 ,0 ,0 ,0 ,0 
03151036, Wahrenholz,154 ,4 ,26 ,34 ,12 ,9 ,0 ,1 ,1 ,0 ,62 ,2 ,16 ,16 ,7 ,1 ,0 ,0 ,1 ,0 ,92 ,2 ,10 ,18 ,5 ,8 ,0 ,1 ,0 ,0 
03151037, Wasbüttel,40 ,1 ,6 ,7 ,3 ,2 ,0 ,0 ,1 ,0 ,20 ,1 ,4 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,20 ,1 ,2 ,3 ,0 ,2 ,0 ,0 ,1 ,0 
03151038, Wesendorf,273 ,10 ,39 ,66 ,26 ,13 ,0 ,1 ,2 ,0 ,75 ,3 ,18 ,20 ,9 ,2 ,0 ,0 ,0 ,0 ,198 ,6 ,22 ,46 ,18 ,11 ,0 ,0 ,2 ,0 
03151039, Weyhausen,41 ,1 ,9 ,6 ,3 ,3 ,0 ,0 ,0 ,0 ,25 ,0 ,7 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,3 ,2 ,3 ,0 ,0 ,0 ,0 
03151040," Wittingen, Stadt",406 ,12 ,62 ,86 ,40 ,25 ,1 ,4 ,4 ,2 ,127 ,4 ,26 ,32 ,17 ,3 ,0 ,0 ,0 ,0 ,280 ,9 ,36 ,54 ,23 ,22 ,1 ,4 ,4 ,2 
03151041, Didderse,29 ,1 ,4 ,9 ,4 ,2 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,4 ,1 ,1 ,0 ,0 ,0 ,0 ,14 ,1 ,2 ,4 ,3 ,1 ,0 ,0 ,0 ,0 
03152, Göttingen,"10,765 ",102 ,897 ,"2,608 ","1,265 ","1,206 ",11 ,60 ,274 ,121 ,"3,536 ",49 ,520 ,922 ,557 ,248 ,2 ,23 ,39 ,25 ,"7,228 ",53 ,377 ,"1,687 ",708 ,958 ,8 ,37 ,235 ,96 
03152001," Adelebsen, Flecken",254 ,4 ,28 ,57 ,31 ,8 ,0 ,0 ,2 ,1 ,109 ,3 ,19 ,33 ,20 ,2 ,0 ,0 ,0 ,0 ,145 ,1 ,9 ,24 ,11 ,6 ,0 ,0 ,1 ,0 
03152002, Bilshausen,75 ,1 ,12 ,18 ,9 ,0 ,0 ,0 ,0 ,0 ,40 ,1 ,11 ,10 ,6 ,0 ,0 ,0 ,0 ,0 ,34 ,0 ,1 ,8 ,3 ,0 ,0 ,0 ,0 ,0 
03152003, Bodensee,28 ,1 ,3 ,5 ,4 ,4 ,0 ,0 ,2 ,1 ,12 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,2 ,1 ,3 ,0 ,0 ,2 ,1 
03152004," Bovenden, Flecken",457 ,5 ,40 ,117 ,59 ,29 ,0 ,1 ,8 ,4 ,181 ,3 ,20 ,57 ,35 ,5 ,0 ,0 ,1 ,1 ,276 ,2 ,20 ,60 ,24 ,25 ,0 ,1 ,7 ,4 
03152005, Bühren,12 ,1 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,9 ,1 ,2 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
03152006," Dransfeld, Stadt",146 ,2 ,16 ,38 ,23 ,11 ,0 ,0 ,2 ,2 ,68 ,0 ,13 ,23 ,14 ,3 ,0 ,0 ,2 ,2 ,78 ,1 ,3 ,15 ,9 ,8 ,0 ,0 ,0 ,0 
03152007," Duderstadt, Stadt",838 ,6 ,75 ,197 ,85 ,50 ,1 ,3 ,9 ,5 ,307 ,5 ,57 ,74 ,41 ,11 ,0 ,1 ,2 ,1 ,531 ,1 ,18 ,123 ,44 ,39 ,0 ,2 ,7 ,4 
03152008, Ebergötzen,55 ,0 ,5 ,12 ,8 ,1 ,0 ,0 ,0 ,0 ,34 ,0 ,4 ,10 ,8 ,0 ,0 ,0 ,0 ,0 ,21 ,0 ,1 ,3 ,1 ,1 ,0 ,0 ,0 ,0 
03152009, Friedland,209 ,4 ,22 ,48 ,25 ,10 ,0 ,0 ,4 ,2 ,109 ,3 ,18 ,29 ,16 ,2 ,0 ,0 ,0 ,0 ,100 ,1 ,4 ,19 ,8 ,8 ,0 ,0 ,4 ,2 
03152010," Gieboldehausen, Flecken",170 ,1 ,24 ,45 ,21 ,10 ,0 ,1 ,3 ,1 ,62 ,0 ,13 ,15 ,7 ,1 ,0 ,0 ,0 ,0 ,108 ,0 ,11 ,29 ,14 ,9 ,0 ,1 ,3 ,1 
03152011, Gleichen,225 ,3 ,22 ,66 ,31 ,14 ,0 ,0 ,4 ,1 ,121 ,3 ,20 ,37 ,20 ,3 ,0 ,0 ,0 ,0 ,104 ,0 ,2 ,29 ,11 ,10 ,0 ,0 ,4 ,1 
03152012," Göttingen, Stadt","6,135 ",52 ,423 ,"1,438 ",676 ,861 ,8 ,39 ,190 ,81 ,"1,538 ",16 ,193 ,359 ,221 ,159 ,1 ,13 ,19 ,13 ,"4,597 ",36 ,231 ,"1,079 ",455 ,702 ,6 ,26 ,171 ,68 
03152013, Jühnde,37 ,0 ,5 ,7 ,4 ,2 ,0 ,0 ,0 ,0 ,16 ,0 ,4 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,21 ,0 ,1 ,4 ,3 ,2 ,0 ,0 ,0 ,0 
03152014, Krebeck,35 ,0 ,7 ,9 ,5 ,0 ,0 ,0 ,0 ,0 ,22 ,0 ,6 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
03152015, Landolfshausen,25 ,1 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,17 ,1 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
03152016," Hann. Münden, Stadt","1,091 ",12 ,102 ,274 ,140 ,151 ,2 ,12 ,35 ,14 ,410 ,7 ,58 ,114 ,72 ,50 ,1 ,7 ,11 ,6 ,681 ,6 ,44 ,160 ,68 ,102 ,1 ,5 ,24 ,8 
03152017, Niemetal,35 ,0 ,4 ,13 ,6 ,1 ,0 ,0 ,0 ,0 ,25 ,0 ,4 ,9 ,6 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,4 ,0 ,1 ,0 ,0 ,0 ,0 
03152018, Obernfeld,31 ,1 ,8 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,6 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 
03152019, Rhumspringe,54 ,0 ,6 ,17 ,10 ,4 ,0 ,0 ,2 ,2 ,23 ,0 ,5 ,5 ,3 ,1 ,0 ,0 ,0 ,0 ,31 ,0 ,1 ,12 ,7 ,4 ,0 ,0 ,2 ,2 
03152020, Rollshausen,28 ,1 ,4 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,14 ,1 ,3 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
03152021, Rosdorf,412 ,3 ,46 ,101 ,51 ,35 ,0 ,2 ,9 ,6 ,166 ,1 ,26 ,42 ,27 ,6 ,0 ,0 ,1 ,1 ,245 ,2 ,20 ,60 ,24 ,30 ,0 ,2 ,8 ,6 
03152022, Rüdershausen,30 ,0 ,1 ,9 ,4 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
03152023, Scheden,69 ,1 ,7 ,17 ,8 ,3 ,0 ,0 ,1 ,0 ,37 ,0 ,6 ,12 ,6 ,0 ,0 ,0 ,0 ,0 ,32 ,1 ,2 ,6 ,3 ,2 ,0 ,0 ,1 ,0 
03152024, Seeburg,38 ,1 ,3 ,11 ,4 ,0 ,0 ,0 ,0 ,0 ,20 ,1 ,2 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,0 ,6 ,1 ,0 ,0 ,0 ,0 ,0 
03152025, Seulingen,28 ,0 ,4 ,8 ,4 ,1 ,0 ,0 ,1 ,0 ,16 ,0 ,3 ,4 ,3 ,1 ,0 ,0 ,1 ,0 ,12 ,0 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
03152026, Staufenberg,194 ,2 ,20 ,62 ,36 ,8 ,0 ,0 ,1 ,0 ,118 ,2 ,17 ,39 ,24 ,3 ,0 ,0 ,0 ,0 ,77 ,1 ,2 ,23 ,12 ,5 ,0 ,0 ,1 ,0 
03152027, Waake,32 ,0 ,3 ,9 ,5 ,1 ,0 ,0 ,0 ,0 ,17 ,0 ,3 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,1 ,4 ,3 ,1 ,0 ,0 ,0 ,0 
03152028, Wollbrandshausen,16 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
03152029, Wollershausen,7 ,0 ,1 ,2 ,0 ,1 ,0 ,0 ,1 ,0 ,4 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,1 ,0 
03153, Goslar,"6,943 ",92 ,632 ,"1,880 ",993 ,623 ,5 ,38 ,133 ,63 ,"2,104 ",20 ,271 ,747 ,496 ,114 ,1 ,11 ,33 ,18 ,"4,840 ",72 ,360 ,"1,134 ",497 ,510 ,4 ,28 ,100 ,45 
03153001," Altenau, Bergstadt",73 ,1 ,7 ,29 ,16 ,1 ,0 ,0 ,0 ,0 ,30 ,0 ,4 ,16 ,12 ,0 ,0 ,0 ,0 ,0 ,42 ,1 ,3 ,13 ,4 ,0 ,0 ,0 ,0 ,0 
03153002," Bad Harzburg, Stadt","1,136 ",15 ,97 ,334 ,181 ,112 ,1 ,7 ,22 ,8 ,366 ,4 ,43 ,136 ,90 ,23 ,0 ,2 ,6 ,3 ,770 ,11 ,54 ,198 ,90 ,89 ,1 ,5 ,16 ,5 
03153004," Clausthal-Zellerfeld, Bergst.",467 ,5 ,44 ,118 ,50 ,29 ,0 ,2 ,5 ,3 ,154 ,2 ,22 ,47 ,29 ,10 ,0 ,0 ,3 ,2 ,314 ,3 ,22 ,71 ,21 ,19 ,0 ,2 ,2 ,1 
03153005," Goslar, Stadt","2,433 ",31 ,188 ,607 ,308 ,285 ,2 ,13 ,58 ,26 ,597 ,4 ,60 ,215 ,136 ,44 ,0 ,3 ,14 ,7 ,"1,836 ",27 ,128 ,392 ,172 ,241 ,2 ,10 ,44 ,18 
03153006, Hahausen,20 ,0 ,1 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
03153007," Langelsheim, Stadt",515 ,6 ,56 ,141 ,82 ,39 ,0 ,4 ,8 ,4 ,190 ,2 ,30 ,72 ,51 ,8 ,0 ,1 ,2 ,0 ,325 ,4 ,26 ,69 ,31 ,31 ,0 ,3 ,6 ,4 
03153008, Liebenburg,325 ,4 ,35 ,91 ,59 ,16 ,0 ,2 ,3 ,2 ,127 ,2 ,21 ,45 ,34 ,2 ,0 ,1 ,0 ,0 ,198 ,1 ,13 ,46 ,25 ,14 ,0 ,1 ,3 ,2 
03153009," Lutter am Barenberge, Flecken",104 ,1 ,8 ,30 ,16 ,4 ,0 ,0 ,1 ,1 ,38 ,0 ,3 ,14 ,8 ,0 ,0 ,0 ,0 ,0 ,66 ,1 ,5 ,16 ,7 ,3 ,0 ,0 ,1 ,1 
03153011, Schulenberg im Oberharz,7 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
03153012," Seesen, Stadt",982 ,19 ,119 ,250 ,130 ,97 ,1 ,10 ,26 ,12 ,282 ,2 ,44 ,86 ,56 ,14 ,0 ,3 ,3 ,1 ,701 ,17 ,75 ,164 ,74 ,83 ,1 ,7 ,22 ,11 
03153013," Vienenburg, Stadt",523 ,4 ,38 ,159 ,85 ,26 ,0 ,1 ,5 ,2 ,179 ,1 ,20 ,66 ,46 ,3 ,0 ,1 ,2 ,1 ,345 ,3 ,18 ,93 ,40 ,23 ,0 ,0 ,3 ,1 
03153014, Wallmoden,29 ,0 ,2 ,10 ,7 ,2 ,0 ,0 ,1 ,1 ,14 ,0 ,2 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,1 ,5 ,3 ,1 ,0 ,0 ,1 ,1 
03153015," Wildemann, Bergstadt",42 ,1 ,4 ,13 ,9 ,1 ,0 ,0 ,1 ,1 ,13 ,0 ,2 ,7 ,6 ,1 ,0 ,0 ,1 ,1 ,29 ,0 ,2 ,6 ,3 ,0 ,0 ,0 ,0 ,0 
03153016," Braunlage, Stadt",285 ,4 ,32 ,89 ,47 ,12 ,0 ,1 ,3 ,3 ,99 ,2 ,20 ,32 ,21 ,7 ,0 ,1 ,2 ,2 ,186 ,2 ,12 ,57 ,26 ,4 ,0 ,0 ,1 ,1 
03154, Helmstedt,"4,319 ",72 ,499 ,"1,086 ",601 ,389 ,5 ,29 ,68 ,38 ,"1,183 ",28 ,222 ,420 ,299 ,43 ,1 ,6 ,11 ,9 ,"3,136 ",44 ,276 ,666 ,302 ,346 ,4 ,23 ,57 ,29 
03154001, Bahrdorf,55 ,1 ,8 ,18 ,10 ,0 ,0 ,0 ,0 ,0 ,21 ,1 ,5 ,8 ,6 ,0 ,0 ,0 ,0 ,0 ,34 ,0 ,3 ,10 ,4 ,0 ,0 ,0 ,0 ,0 
03154002, Beierstedt,15 ,0 ,2 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
03154003, Büddenstedt,132 ,4 ,20 ,37 ,23 ,4 ,0 ,0 ,0 ,0 ,46 ,2 ,10 ,20 ,14 ,2 ,0 ,0 ,0 ,0 ,87 ,2 ,10 ,17 ,9 ,2 ,0 ,0 ,0 ,0 
03154004, Danndorf,38 ,1 ,5 ,6 ,4 ,2 ,0 ,0 ,1 ,1 ,18 ,1 ,3 ,4 ,2 ,1 ,0 ,0 ,0 ,0 ,20 ,0 ,1 ,3 ,2 ,2 ,0 ,0 ,1 ,1 
03154005, Frellstedt,39 ,0 ,5 ,11 ,8 ,2 ,0 ,0 ,0 ,0 ,16 ,0 ,4 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,1 ,4 ,1 ,2 ,0 ,0 ,0 ,0 
03154006, Gevensleben,30 ,0 ,4 ,7 ,3 ,1 ,0 ,0 ,0 ,0 ,13 ,0 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
03154007, Grafhorst,20 ,1 ,4 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,10 ,1 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
03154008, Grasleben,89 ,2 ,8 ,20 ,10 ,3 ,0 ,0 ,1 ,1 ,35 ,1 ,4 ,11 ,7 ,1 ,0 ,0 ,1 ,1 ,54 ,1 ,3 ,10 ,3 ,2 ,0 ,0 ,0 ,0 
03154009, Groß Twülpstedt,52 ,1 ,8 ,11 ,7 ,4 ,1 ,1 ,1 ,1 ,24 ,1 ,6 ,6 ,4 ,3 ,1 ,1 ,1 ,1 ,28 ,0 ,2 ,5 ,2 ,2 ,0 ,0 ,1 ,0 
03154010," Helmstedt, Stadt","1,631 ",28 ,192 ,412 ,214 ,212 ,3 ,18 ,39 ,18 ,309 ,9 ,59 ,115 ,83 ,12 ,0 ,2 ,2 ,2 ,"1,322 ",18 ,133 ,297 ,131 ,200 ,3 ,16 ,37 ,16 
03154011, Ingeleben,12 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
03154012, Jerxheim,52 ,0 ,4 ,15 ,6 ,1 ,0 ,0 ,0 ,0 ,12 ,0 ,3 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,40 ,0 ,1 ,11 ,5 ,1 ,0 ,0 ,0 ,0 
03154013," Königslutter am Elm, Stadt",631 ,10 ,74 ,148 ,82 ,59 ,0 ,4 ,10 ,6 ,174 ,4 ,38 ,54 ,38 ,9 ,0 ,2 ,1 ,0 ,457 ,6 ,36 ,93 ,44 ,51 ,0 ,2 ,10 ,6 
03154014, Lehre,311 ,4 ,40 ,80 ,51 ,28 ,1 ,2 ,4 ,4 ,141 ,3 ,28 ,44 ,33 ,6 ,0 ,0 ,1 ,1 ,170 ,2 ,12 ,36 ,17 ,23 ,0 ,1 ,3 ,3 
03154015, Mariental,50 ,0 ,4 ,14 ,8 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,40 ,0 ,3 ,10 ,6 ,1 ,0 ,0 ,0 ,0 
03154016, Querenhorst,19 ,0 ,1 ,3 ,1 ,5 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,1 ,0 ,5 ,0 ,0 ,0 ,0 
03154017, Räbke,22 ,0 ,2 ,11 ,8 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 
03154018, Rennau,18 ,1 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
03154019," Schöningen, Stadt",770 ,14 ,83 ,181 ,100 ,49 ,0 ,3 ,8 ,6 ,179 ,3 ,27 ,72 ,56 ,9 ,0 ,1 ,5 ,4 ,590 ,10 ,56 ,109 ,45 ,40 ,0 ,2 ,3 ,1 
03154020, Söllingen,27 ,0 ,1 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
03154021, Süpplingen,70 ,1 ,7 ,21 ,11 ,4 ,0 ,0 ,0 ,0 ,26 ,0 ,3 ,11 ,6 ,0 ,0 ,0 ,0 ,0 ,43 ,0 ,3 ,10 ,6 ,4 ,0 ,0 ,0 ,0 
03154022, Süpplingenburg,13 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
03154023, Twieflingen,49 ,0 ,4 ,17 ,10 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,33 ,0 ,2 ,9 ,4 ,0 ,0 ,0 ,0 ,0 
03154024, Velpke,111 ,2 ,14 ,26 ,15 ,8 ,0 ,1 ,1 ,1 ,49 ,1 ,10 ,14 ,9 ,1 ,0 ,0 ,0 ,0 ,62 ,1 ,4 ,12 ,6 ,7 ,0 ,1 ,1 ,1 
03154025, Warberg,26 ,0 ,3 ,9 ,6 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 
